,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,ConvNeXtV2_Nano,PyramidViT_V2_B2,MobileNetV3,Swin_T,ResNet18,ResNet50,ResNeXt50,Res2Net50,ViT_B_32
DeiT_S,1.0000007152557373,0.6722341179847717,0.6855578422546387,0.6589755415916443,0.41452062129974365,0.5764751434326172,0.6371325254440308,0.7016524076461792,0.6999792456626892,0.6959699392318726,0.6885353326797485,0.6114464998245239,0.6617518663406372,0.5218508243560791
DeiT_T,0.6722341179847717,1.0000007152557373,0.6605358719825745,0.6315320134162903,0.40530067682266235,0.5727086663246155,0.60051429271698,0.6817913055419922,0.6670624613761902,0.6823050379753113,0.6648653745651245,0.5808265805244446,0.6293283700942993,0.5043995380401611
DenseNet121,0.6855578422546387,0.6605358719825745,1.0000003576278687,0.8653216361999512,0.5230410695075989,0.6647374629974365,0.856033205986023,0.8562282919883728,0.8444787263870239,0.889520525932312,0.8918136954307556,0.788482666015625,0.9320892095565796,0.6104856729507446
EfficientNet_B3,0.6589755415916443,0.6315320134162903,0.8653216361999512,1.0000007152557373,0.5017083287239075,0.6426083445549011,0.7710661292076111,0.8334078788757324,0.8236486315727234,0.8660017848014832,0.8769123554229736,0.8288540840148926,0.8810018301010132,0.5852111577987671
EfficientNet_B4,0.41452062129974365,0.40530067682266235,0.5230410695075989,0.5017083287239075,1.000001072883606,0.4147273004055023,0.4633827805519104,0.5262515544891357,0.4841243624687195,0.5166565179824829,0.5112355351448059,0.4392770230770111,0.511587917804718,0.3607514798641205
ConvNeXtV2_Nano,0.5764751434326172,0.5727086663246155,0.6647374629974365,0.6426083445549011,0.4147273004055023,1.0000009536743164,0.5946003198623657,0.7060943841934204,0.6509948968887329,0.7047626376152039,0.6788653135299683,0.6018347144126892,0.6305148005485535,0.4921310842037201
PyramidViT_V2_B2,0.6371325254440308,0.60051429271698,0.856033205986023,0.7710661292076111,0.4633827805519104,0.5946003198623657,1.000000238418579,0.7707404494285583,0.7976685762405396,0.7800419926643372,0.787004828453064,0.6948354244232178,0.8386499285697937,0.5658823251724243
MobileNetV3,0.7016524076461792,0.6817913055419922,0.8562282919883728,0.8334078788757324,0.5262515544891357,0.7060943841934204,0.7707404494285583,1.0000004768371582,0.825766921043396,0.869510293006897,0.8528088331222534,0.7581745982170105,0.8336282968521118,0.6093987822532654
Swin_T,0.6999792456626892,0.6670624613761902,0.8444787263870239,0.8236486315727234,0.4841243624687195,0.6509948968887329,0.7976685762405396,0.825766921043396,1.0000007152557373,0.8587421178817749,0.879194974899292,0.7896360754966736,0.814176082611084,0.5965096354484558
ResNet18,0.6959699392318726,0.6823050379753113,0.889520525932312,0.8660017848014832,0.5166565179824829,0.7047626376152039,0.7800419926643372,0.869510293006897,0.8587421178817749,1.0000008344650269,0.9125747084617615,0.8050746917724609,0.8612493276596069,0.6091783046722412
ResNet50,0.6885353326797485,0.6648653745651245,0.8918136954307556,0.8769123554229736,0.5112355351448059,0.6788653135299683,0.787004828453064,0.8528088331222534,0.879194974899292,0.9125747084617615,1.0000009536743164,0.8507439494132996,0.8766915202140808,0.5901204347610474
ResNeXt50,0.6114464998245239,0.5808265805244446,0.788482666015625,0.8288540840148926,0.4392770230770111,0.6018347144126892,0.6948354244232178,0.7581745982170105,0.7896360754966736,0.8050746917724609,0.8507439494132996,0.9912121891975403,0.8020303845405579,0.5239181518554688
Res2Net50,0.6617518663406372,0.6293283700942993,0.9320892095565796,0.8810018301010132,0.511587917804718,0.6305148005485535,0.8386499285697937,0.8336282968521118,0.814176082611084,0.8612493276596069,0.8766915202140808,0.8020303845405579,1.000000238418579,0.5947988629341125
ViT_B_32,0.5218508243560791,0.5043995380401611,0.6104856729507446,0.5852111577987671,0.3607514798641205,0.4921310842037201,0.5658823251724243,0.6093987822532654,0.5965096354484558,0.6091783046722412,0.5901204347610474,0.5239181518554688,0.5947988629341125,0.9824223518371582
