,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,ConvNeXtV2_Nano,PyramidViT_V2_B2,MobileNetV3,Swin_T,ResNet18,ResNet50,ResNeXt50,Res2Net50,ViT_B_32
DeiT_S,1.0,0.04329610988497734,3.092574843321927e-05,0.00047521773376502097,0.0003728210285771638,0.010990114882588387,1.7937734810402617e-05,0.0073260776698589325,0.004441040568053722,0.005199681967496872,0.00371732609346509,0.0015412819338962436,0.00010006949014496058,0.005492874421179295
DeiT_T,0.04329610988497734,1.0,3.864004156639567e-06,0.0004297018749639392,0.0004097001801710576,0.01513954158872366,1.4185838153935038e-05,0.00681766401976347,0.0018832236528396606,0.005024445243179798,0.0019598575308918953,0.001237170654349029,4.6716213546460494e-06,0.00370116182602942
DenseNet121,3.092574843321927e-05,3.864004156639567e-06,1.0,0.002452404471114278,1.3344367744139163e-07,1.7982909412239678e-05,0.0013868564274162054,0.0009572169510647655,0.003494245931506157,0.0018443670123815536,0.0022222441621124744,0.0005255708820186555,0.04022277519106865,7.107882993295789e-05
EfficientNet_B3,0.00047521773376502097,0.0004297018749639392,0.002452404471114278,1.0,3.0757553759031e-05,0.002619716804474592,0.0003383998409844935,0.016580887138843536,0.014025066047906876,0.039264507591724396,0.05222250893712044,0.05320821702480316,0.003784344531595707,0.0013991850428283215
EfficientNet_B4,0.0003728210285771638,0.0004097001801710576,1.3344367744139163e-07,3.0757553759031e-05,1.0,0.0009269854053854942,3.13097120852035e-06,0.0005689762183465064,4.843794522457756e-05,0.00041915365727618337,0.00016309441707562655,0.00016050811973400414,2.8230620063851575e-09,0.0006264804978854954
ConvNeXtV2_Nano,0.010990114882588387,0.01513954158872366,1.7982909412239678e-05,0.002619716804474592,0.0009269854053854942,1.0,3.272364483564161e-05,0.038266461342573166,0.008684040978550911,0.031241271644830704,0.013773990795016289,0.011402023956179619,1.7696786017040722e-05,0.017828866839408875
PyramidViT_V2_B2,1.7937734810402617e-05,1.4185838153935038e-05,0.0013868564274162054,0.0003383998409844935,3.13097120852035e-06,3.272364483564161e-05,1.0,0.00018401276611257344,0.0008358695777133107,0.000522754096891731,0.0005323963705450296,6.166765524540097e-05,0.0007600416429340839,3.29436115862336e-05
MobileNetV3,0.0073260776698589325,0.00681766401976347,0.0009572169510647655,0.016580887138843536,0.0005689762183465064,0.038266461342573166,0.00018401276611257344,1.0,0.02777469903230667,0.080152727663517,0.05422727391123772,0.02040460705757141,0.00032014932367019355,0.008562766015529633
Swin_T,0.004441040568053722,0.0018832236528396606,0.003494245931506157,0.014025066047906876,4.843794522457756e-05,0.008684040978550911,0.0008358695777133107,0.02777469903230667,1.0,0.039547283202409744,0.05085408687591553,0.022481201216578484,0.0005659396992996335,0.006459618452936411
ResNet18,0.005199681967496872,0.005024445243179798,0.0018443670123815536,0.039264507591724396,0.00041915365727618337,0.031241271644830704,0.000522754096891731,0.080152727663517,0.039547283202409744,1.0,0.1457633227109909,0.056565433740615845,0.0014414279721677303,0.006690713111311197
ResNet50,0.00371732609346509,0.0019598575308918953,0.0022222441621124744,0.05222250893712044,0.00016309441707562655,0.013773990795016289,0.0005323963705450296,0.05422727391123772,0.05085408687591553,0.1457633227109909,1.0,0.09753210842609406,0.0022507288958877325,0.00337646109983325
ResNeXt50,0.0015412819338962436,0.001237170654349029,0.0005255708820186555,0.05320821702480316,0.00016050811973400414,0.011402023956179619,6.166765524540097e-05,0.02040460705757141,0.022481201216578484,0.056565433740615845,0.09753210842609406,1.0,0.00036081569851376116,0.0021011310163885355
Res2Net50,0.00010006949014496058,4.6716213546460494e-06,0.04022277519106865,0.003784344531595707,2.8230620063851575e-09,1.7696786017040722e-05,0.0007600416429340839,0.00032014932367019355,0.0005659396992996335,0.0014414279721677303,0.0022507288958877325,0.00036081569851376116,1.0,1.3788368050882127e-05
ViT_B_32,0.005492874421179295,0.00370116182602942,7.107882993295789e-05,0.0013991850428283215,0.0006264804978854954,0.017828866839408875,3.29436115862336e-05,0.008562766015529633,0.006459618452936411,0.006690713111311197,0.00337646109983325,0.0021011310163885355,1.3788368050882127e-05,1.0
