,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,ConvNeXtV2_Nano,PyramidViT_V2_B2,MobileNetV3,Swin_T,ResNet18,ResNet50,ResNeXt50,Res2Net50,ViT_B_32
DeiT_S,0.9999996423721313,0.9615362882614136,0.9429008364677429,0.9453125,0.9523095488548279,0.956122100353241,0.9569873809814453,0.9435674548149109,0.9565582275390625,0.9511541128158569,0.9495247602462769,0.9387614727020264,0.9424511790275574,0.9610390663146973
DeiT_T,0.9615362882614136,0.9999986886978149,0.9368829131126404,0.9389022588729858,0.947360098361969,0.9526342153549194,0.951271653175354,0.9370934367179871,0.9539918899536133,0.9496975541114807,0.9447072744369507,0.9328232407569885,0.9389801025390625,0.9581698775291443
DenseNet121,0.9429008364677429,0.9368829131126404,1.000003457069397,0.9221174120903015,0.9291072487831116,0.9312813878059387,0.9339886903762817,0.9211861491203308,0.9355720281600952,0.9283639192581177,0.9267290234565735,0.9227317571640015,0.9199703931808472,0.9345976710319519
EfficientNet_B3,0.9453125,0.9389022588729858,0.9221174120903015,0.9999998807907104,0.9343279004096985,0.9369061589241028,0.9384902715682983,0.9252246618270874,0.9377871751785278,0.9313578009605408,0.931704044342041,0.9209913611412048,0.9245575070381165,0.9416632652282715
EfficientNet_B4,0.9523095488548279,0.947360098361969,0.9291072487831116,0.9343279004096985,0.9999991655349731,0.944563090801239,0.9409575462341309,0.9322496056556702,0.9461806416511536,0.9436608552932739,0.9379067420959473,0.9289340376853943,0.9301340579986572,0.9494912624359131
ConvNeXtV2_Nano,0.956122100353241,0.9526342153549194,0.9312813878059387,0.9369061589241028,0.944563090801239,0.9999997615814209,0.9487096071243286,0.9346511363983154,0.951069176197052,0.943684995174408,0.9404005408287048,0.9292106628417969,0.9331439733505249,0.9544246792793274
PyramidViT_V2_B2,0.9569873809814453,0.951271653175354,0.9339886903762817,0.9384902715682983,0.9409575462341309,0.9487096071243286,0.9999992251396179,0.932702362537384,0.950905978679657,0.9419494867324829,0.9431670904159546,0.9339593648910522,0.9325315356254578,0.9532647132873535
MobileNetV3,0.9435674548149109,0.9370934367179871,0.9211861491203308,0.9252246618270874,0.9322496056556702,0.9346511363983154,0.932702362537384,1.0000015497207642,0.9365643858909607,0.9314699769020081,0.9258639812469482,0.9203518033027649,0.9217063188552856,0.9365152716636658
Swin_T,0.9565582275390625,0.9539918899536133,0.9355720281600952,0.9377871751785278,0.9461806416511536,0.951069176197052,0.950905978679657,0.9365643858909607,1.0000004768371582,0.9489103555679321,0.9414078593254089,0.9325964450836182,0.937186062335968,0.9538478851318359
ResNet18,0.9511541128158569,0.9496975541114807,0.9283639192581177,0.9313578009605408,0.9436608552932739,0.943684995174408,0.9419494867324829,0.9314699769020081,0.9489103555679321,0.9999989867210388,0.9423199892044067,0.9270924925804138,0.9313626289367676,0.9475620985031128
ResNet50,0.9495247602462769,0.9447072744369507,0.9267290234565735,0.931704044342041,0.9379067420959473,0.9404005408287048,0.9431670904159546,0.9258639812469482,0.9414078593254089,0.9423199892044067,0.9999990463256836,0.924705982208252,0.9306045174598694,0.9472284913063049
ResNeXt50,0.9387614727020264,0.9328232407569885,0.9227317571640015,0.9209913611412048,0.9289340376853943,0.9292106628417969,0.9339593648910522,0.9203518033027649,0.9325964450836182,0.9270924925804138,0.924705982208252,0.9999991655349731,0.9216326475143433,0.9345043301582336
Res2Net50,0.9424511790275574,0.9389801025390625,0.9199703931808472,0.9245575070381165,0.9301340579986572,0.9331439733505249,0.9325315356254578,0.9217063188552856,0.937186062335968,0.9313626289367676,0.9306045174598694,0.9216326475143433,0.9999983310699463,0.9357997179031372
ViT_B_32,0.9610390663146973,0.9581698775291443,0.9345976710319519,0.9416632652282715,0.9494912624359131,0.9544246792793274,0.9532647132873535,0.9365152716636658,0.9538478851318359,0.9475620985031128,0.9472284913063049,0.9345043301582336,0.9357997179031372,1.0000020265579224
