,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,ConvNeXtV2_Nano,PyramidViT_V2_B2,MobileNetV3,Swin_T,ResNet18,ResNet50,ResNeXt50,Res2Net50,ViT_B_32
DeiT_S,1.0,0.016481058672070503,0.004534787964075804,0.003104243893176317,0.008293503895401955,0.043647367507219315,0.016730574890971184,0.0038978937081992626,0.02312471717596054,0.000203186267754063,0.016518233343958855,0.0021996961440891027,0.0037736021913588047,0.03056458942592144
DeiT_T,0.016481058672070503,1.0,0.0018404953880235553,0.0014498356031253934,0.013134781271219254,0.012961465865373611,0.020929303020238876,0.0016092921141535044,0.005051278043538332,0.0370434932410717,0.002847690135240555,0.0008693418349139392,0.0015931506641209126,0.005228039808571339
DenseNet121,0.004534787964075804,0.0018404953880235553,1.0,0.001620328868739307,0.004127350635826588,0.005198229104280472,0.002162607153877616,0.004292216617614031,0.0011975435772910714,0.0008677250589244068,0.0013199031818658113,0.0005309941479936242,0.0017544463044032454,0.0029859005007892847
EfficientNet_B3,0.003104243893176317,0.0014498356031253934,0.001620328868739307,1.0,0.005595474038273096,0.0032048390712589025,0.0011485283030197024,0.003912870306521654,0.002249500947073102,0.0010356344282627106,0.001371221267618239,0.0008739218465052545,0.001107928343117237,0.0024058178532868624
EfficientNet_B4,0.008293503895401955,0.013134781271219254,0.004127350635826588,0.005595474038273096,1.0,0.010652061551809311,0.010350489988923073,0.003274346701800823,0.009269842877984047,0.00316068297252059,0.0036372358445078135,0.0011622053571045399,0.0013450059341266751,0.007862813770771027
ConvNeXtV2_Nano,0.043647367507219315,0.012961465865373611,0.005198229104280472,0.0032048390712589025,0.010652061551809311,1.0,0.013074995018541813,0.006313874386250973,0.017694300040602684,0.003612013068050146,0.0006043443572707474,0.0030932577792555094,0.004288433585315943,0.024778572842478752
PyramidViT_V2_B2,0.016730574890971184,0.020929303020238876,0.002162607153877616,0.0011485283030197024,0.010350489988923073,0.013074995018541813,1.0,0.001372801954858005,0.009096236899495125,0.001731355325318873,0.001330454251728952,0.000874424003995955,0.0026390915736556053,0.005004115402698517
MobileNetV3,0.0038978937081992626,0.0016092921141535044,0.004292216617614031,0.003912870306521654,0.003274346701800823,0.006313874386250973,0.001372801954858005,1.0,0.0012303332332521677,0.0006766020087525249,0.000546774361282587,0.0016042683273553848,0.0013153156032785773,0.005474184639751911
Swin_T,0.02312471717596054,0.005051278043538332,0.0011975435772910714,0.002249500947073102,0.009269842877984047,0.017694300040602684,0.009096236899495125,0.0012303332332521677,1.0,0.0021975755225867033,0.0001660479319980368,0.0009639670606702566,0.0016866211080923676,0.012228981591761112
ResNet18,0.000203186267754063,0.0370434932410717,0.0008677250589244068,0.0010356344282627106,0.00316068297252059,0.003612013068050146,0.001731355325318873,0.0006766020087525249,0.0021975755225867033,1.0,0.006006921175867319,0.0017629278590902686,0.0010549513390287757,0.00810794997960329
ResNet50,0.016518233343958855,0.002847690135240555,0.0013199031818658113,0.001371221267618239,0.0036372358445078135,0.0006043443572707474,0.001330454251728952,0.000546774361282587,0.0001660479319980368,0.006006921175867319,1.0,0.00016433755808975548,0.0005154858808964491,0.0031769524794071913
ResNeXt50,0.0021996961440891027,0.0008693418349139392,0.0005309941479936242,0.0008739218465052545,0.0011622053571045399,0.0030932577792555094,0.000874424003995955,0.0016042683273553848,0.0009639670606702566,0.0017629278590902686,0.00016433755808975548,1.0,0.0013504473026841879,0.002833559177815914
Res2Net50,0.0037736021913588047,0.0015931506641209126,0.0017544463044032454,0.001107928343117237,0.0013450059341266751,0.004288433585315943,0.0026390915736556053,0.0013153156032785773,0.0016866211080923676,0.0010549513390287757,0.0005154858808964491,0.0013504473026841879,1.0,0.0022969760466367006
ViT_B_32,0.03056458942592144,0.005228039808571339,0.0029859005007892847,0.0024058178532868624,0.007862813770771027,0.024778572842478752,0.005004115402698517,0.005474184639751911,0.012228981591761112,0.00810794997960329,0.0031769524794071913,0.002833559177815914,0.0022969760466367006,1.0
