,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0000008344650269,0.7225285768508911,0.6378446817398071,0.9173116087913513,0.8345744013786316,0.5607182383537292,0.8677694797515869,0.8245016932487488,0.8794090747833252,0.8644793629646301,0.8766942620277405,0.7671030759811401,0.8721176385879517,0.6706333756446838
DeiT_S,0.7225285768508911,1.0000005960464478,0.6162173748016357,0.7406237125396729,0.6927542090415955,0.49352455139160156,0.7075947523117065,0.6852885484695435,0.712444543838501,0.6938256025314331,0.6933445930480957,0.6342413425445557,0.6755458116531372,0.5562697649002075
DeiT_T,0.6378446817398071,0.6162173748016357,1.0000005960464478,0.6662672162055969,0.6122502684593201,0.43807098269462585,0.6289585828781128,0.5989178419113159,0.6239984035491943,0.619512677192688,0.6088164448738098,0.5470865964889526,0.5971283912658691,0.49717071652412415
DenseNet121,0.9173116087913513,0.7406237125396729,0.6662672162055969,1.0000004768371582,0.8678292632102966,0.5923378467559814,0.8690951466560364,0.8563165664672852,0.9227415323257446,0.879582405090332,0.8924300670623779,0.8099287748336792,0.8545104265213013,0.6657624840736389
EfficientNet_B3,0.8345744013786316,0.6927542090415955,0.6122502684593201,0.8678292632102966,1.0000003576278687,0.5731523036956787,0.8132510781288147,0.7795426845550537,0.8572193384170532,0.8262624740600586,0.8434499502182007,0.7889347672462463,0.7839884757995605,0.6221193075180054
EfficientNet_B4,0.5607182383537292,0.49352455139160156,0.43807098269462585,0.5923378467559814,0.5731523036956787,1.0000011920928955,0.5664408206939697,0.5423631072044373,0.5717238783836365,0.5409941077232361,0.5437597036361694,0.5172892212867737,0.5028595328330994,0.4253147840499878
MobileNetV3,0.8677694797515869,0.7075947523117065,0.6289585828781128,0.8690951466560364,0.8132510781288147,0.5664408206939697,1.0000004768371582,0.7643072009086609,0.8232014179229736,0.8457141518592834,0.8368371725082397,0.7488341331481934,0.8338645100593567,0.6496269702911377
PyramidViT_V2_B2,0.8245016932487488,0.6852885484695435,0.5989178419113159,0.8563165664672852,0.7795426845550537,0.5423631072044373,0.7643072009086609,1.000000238418579,0.8398227095603943,0.7580670714378357,0.7682422399520874,0.7042964100837708,0.7892112731933594,0.6085046529769897
Res2Net50,0.8794090747833252,0.712444543838501,0.6239984035491943,0.9227415323257446,0.8572193384170532,0.5717238783836365,0.8232014179229736,0.8398227095603943,1.0000003576278687,0.8311623334884644,0.8678195476531982,0.8135531544685364,0.8099082112312317,0.6306768655776978
ResNet18,0.8644793629646301,0.6938256025314331,0.619512677192688,0.879582405090332,0.8262624740600586,0.5409941077232361,0.8457141518592834,0.7580670714378357,0.8311623334884644,1.0000007152557373,0.8790095448493958,0.7929654121398926,0.8334604501724243,0.6185277700424194
ResNet50,0.8766942620277405,0.6933445930480957,0.6088164448738098,0.8924300670623779,0.8434499502182007,0.5437597036361694,0.8368371725082397,0.7682422399520874,0.8678195476531982,0.8790095448493958,1.0000009536743164,0.8479383587837219,0.860942006111145,0.610327959060669
ResNeXt50,0.7671030759811401,0.6342413425445557,0.5470865964889526,0.8099287748336792,0.7889347672462463,0.5172892212867737,0.7488341331481934,0.7042964100837708,0.8135531544685364,0.7929654121398926,0.8479383587837219,1.0000007152557373,0.7583082914352417,0.534042477607727
Swin_T,0.8721176385879517,0.6755458116531372,0.5971283912658691,0.8545104265213013,0.7839884757995605,0.5028595328330994,0.8338645100593567,0.7892112731933594,0.8099082112312317,0.8334604501724243,0.860942006111145,0.7583082914352417,1.0000007152557373,0.6192011833190918
ViT_B_32,0.6706333756446838,0.5562697649002075,0.49717071652412415,0.6657624840736389,0.6221193075180054,0.4253147840499878,0.6496269702911377,0.6085046529769897,0.6306768655776978,0.6185277700424194,0.610327959060669,0.534042477607727,0.6192011833190918,0.9960942268371582
