,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0000008344650269,0.7245319485664368,0.640265166759491,0.9186123013496399,0.8486147522926331,0.7824598550796509,0.8873066306114197,0.8261286020278931,0.882285475730896,0.8754104971885681,0.8798450231552124,0.7860763669013977,0.8609538078308105,0.6737691164016724
DeiT_S,0.7245319485664368,1.0000005960464478,0.6185802221298218,0.7406237125396729,0.7006657719612122,0.6710060238838196,0.7730914950370789,0.685978889465332,0.7139887809753418,0.7021883726119995,0.694616973400116,0.6499618291854858,0.7396907806396484,0.5574239492416382
DeiT_T,0.640265166759491,0.6185802221298218,1.0000005960464478,0.6664900779724121,0.6178523302078247,0.5928038954734802,0.5641358494758606,0.5986843705177307,0.6247722506523132,0.6223676204681396,0.6111340522766113,0.555730938911438,0.5232575535774231,0.49814561009407043
DenseNet121,0.9186123013496399,0.7406237125396729,0.6664900779724121,1.0000004768371582,0.8776466846466064,0.7999275326728821,0.8751170635223389,0.856868326663971,0.9242477416992188,0.8860082030296326,0.8935452699661255,0.8314375281333923,0.8412905931472778,0.6677892208099365
EfficientNet_B3,0.8486147522926331,0.7006657719612122,0.6178523302078247,0.8776466846466064,1.0000003576278687,0.7875545620918274,0.8568459153175354,0.7849198579788208,0.8673229813575745,0.8426415324211121,0.8562631011009216,0.8171597719192505,0.7985040545463562,0.6293443441390991
EfficientNet_B4,0.7824598550796509,0.6710060238838196,0.5928038954734802,0.7999275326728821,0.7875545620918274,1.0000011920928955,0.8482303619384766,0.7545199394226074,0.7691917419433594,0.7509858012199402,0.7606791257858276,0.7178266644477844,0.7876306176185608,0.5851696729660034
MobileNetV3,0.8873066306114197,0.7730914950370789,0.5641358494758606,0.8751170635223389,0.8568459153175354,0.8482303619384766,1.0000004768371582,0.7766400575637817,0.8236920237541199,0.9087351560592651,0.8936848640441895,0.8498643040657043,0.8466966152191162,0.6405307054519653
PyramidViT_V2_B2,0.8261286020278931,0.685978889465332,0.5986843705177307,0.856868326663971,0.7849198579788208,0.7545199394226074,0.7766400575637817,1.000000238418579,0.8409935235977173,0.7643831372261047,0.7700992822647095,0.718830406665802,0.7628160715103149,0.6099799871444702
Res2Net50,0.882285475730896,0.7139887809753418,0.6247722506523132,0.9242477416992188,0.8673229813575745,0.7691917419433594,0.8236920237541199,0.8409935235977173,1.0000003576278687,0.8373593091964722,0.8710501790046692,0.8350476622581482,0.789359986782074,0.6334810256958008
ResNet18,0.8754104971885681,0.7021883726119995,0.6223676204681396,0.8860082030296326,0.8426415324211121,0.7509858012199402,0.9087351560592651,0.7643831372261047,0.8373593091964722,1.0000007152557373,0.888883113861084,0.818819522857666,0.8961058855056763,0.6246247887611389
ResNet50,0.8798450231552124,0.694616973400116,0.6111340522766113,0.8935452699661255,0.8562631011009216,0.7606791257858276,0.8936848640441895,0.7700992822647095,0.8710501790046692,0.888883113861084,1.0000009536743164,0.874292254447937,0.8973143100738525,0.6137834191322327
ResNeXt50,0.7860763669013977,0.6499618291854858,0.555730938911438,0.8314375281333923,0.8171597719192505,0.7178266644477844,0.8498643040657043,0.718830406665802,0.8350476622581482,0.818819522857666,0.874292254447937,1.0000007152557373,0.8721651434898376,0.5475249886512756
Swin_T,0.8609538078308105,0.7396907806396484,0.5232575535774231,0.8412905931472778,0.7985040545463562,0.7876306176185608,0.8466966152191162,0.7628160715103149,0.789359986782074,0.8961058855056763,0.8973143100738525,0.8721651434898376,1.0000007152557373,0.6222227215766907
ViT_B_32,0.6737691164016724,0.5574239492416382,0.49814561009407043,0.6677892208099365,0.6293443441390991,0.5851696729660034,0.6405307054519653,0.6099799871444702,0.6334810256958008,0.6246247887611389,0.6137834191322327,0.5475249886512756,0.6222227215766907,0.9960942268371582
