,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.0009162814822047949,0.0005867756553925574,0.020512962713837624,0.006780663970857859,0.006538338027894497,0.0316176563501358,0.0011885149870067835,0.003110399004071951,0.024211958050727844,0.030646098777651787,0.007361971773207188,0.04448552429676056,0.0036543533205986023
DeiT_S,0.0009162814822047949,1.0,0.004090745002031326,4.196042937110178e-05,0.0006671053124591708,0.0005264152423478663,0.0031073177233338356,3.4237724321428686e-05,1.7204090454470133e-06,0.0026836523320525885,0.0015522302128374577,0.0012659814674407244,0.0013458675239235163,0.0006685362313874066
DeiT_T,0.0005867756553925574,0.004090745002031326,1.0,8.056388651311863e-06,0.0001382853661198169,0.00035746031790040433,0.0032320080790668726,9.733814295032062e-06,9.854625204752665e-08,0.002292701043188572,0.0005895861540921032,0.0003527300141286105,0.001107895513996482,0.002643728395923972
DenseNet121,0.020512962713837624,4.196042937110178e-05,8.056388651311863e-06,1.0,0.002394449897110462,0.0009682477684691548,0.002512086182832718,0.0011739316396415234,0.01089492253959179,0.0029414836317300797,0.0037154648452997208,0.0007268947665579617,0.009100108407437801,0.00021373700292315334
EfficientNet_B3,0.006780663970857859,0.0006671053124591708,0.0001382853661198169,0.002394449897110462,1.0,0.003288908861577511,0.009647909551858902,0.0001488979469286278,0.001844763639383018,0.016365157440304756,0.021479489281773567,0.017595721408724785,0.005418215412646532,0.001984197413548827
EfficientNet_B4,0.006538338027894497,0.0005264152423478663,0.00035746031790040433,0.0009682477684691548,0.003288908861577511,1.0,0.01043729204684496,0.0001927071571117267,0.00010268142796121538,0.006938892882317305,0.00701723899692297,0.0013870678376406431,0.0046957917511463165,0.0003436431288719177
MobileNetV3,0.0316176563501358,0.0031073177233338356,0.0032320080790668726,0.002512086182832718,0.009647909551858902,0.01043729204684496,1.0,0.00033274636371061206,0.0002132111694663763,0.0551191046833992,0.029888026416301727,0.012562760151922703,0.02777467668056488,0.009092636406421661
PyramidViT_V2_B2,0.0011885149870067835,3.4237724321428686e-05,9.733814295032062e-06,0.0011739316396415234,0.0001488979469286278,0.0001927071571117267,0.00033274636371061206,1.0,0.0002933269424829632,0.0004207765159662813,0.0002400773373665288,8.44993774080649e-05,0.0004173890920355916,3.9526508771814406e-05
Res2Net50,0.003110399004071951,1.7204090454470133e-06,9.854625204752665e-08,0.01089492253959179,0.001844763639383018,0.00010268142796121538,0.0002132111694663763,0.0002933269424829632,1.0,0.000778638874180615,0.0015176734887063503,0.0004423996724653989,0.0004691380599979311,0.00015208779950626194
ResNet18,0.024211958050727844,0.0026836523320525885,0.002292701043188572,0.0029414836317300797,0.016365157440304756,0.006938892882317305,0.0551191046833992,0.0004207765159662813,0.000778638874180615,1.0,0.06798096746206284,0.027108939364552498,0.026745274662971497,0.00598485441878438
ResNet50,0.030646098777651787,0.0015522302128374577,0.0005895861540921032,0.0037154648452997208,0.021479489281773567,0.00701723899692297,0.029888026416301727,0.0002400773373665288,0.0015176734887063503,0.06798096746206284,1.0,0.05918850377202034,0.03631266951560974,0.0009777583181858063
ResNeXt50,0.007361971773207188,0.0012659814674407244,0.0003527300141286105,0.0007268947665579617,0.017595721408724785,0.0013870678376406431,0.012562760151922703,8.44993774080649e-05,0.0004423996724653989,0.027108939364552498,0.05918850377202034,1.0,0.011217009276151657,0.0007552233291789889
Swin_T,0.04448552429676056,0.0013458675239235163,0.001107895513996482,0.009100108407437801,0.005418215412646532,0.0046957917511463165,0.02777467668056488,0.0004173890920355916,0.0004691380599979311,0.026745274662971497,0.03631266951560974,0.011217009276151657,1.0,0.0028840331360697746
ViT_B_32,0.0036543533205986023,0.0006685362313874066,0.002643728395923972,0.00021373700292315334,0.001984197413548827,0.0003436431288719177,0.009092636406421661,3.9526508771814406e-05,0.00015208779950626194,0.00598485441878438,0.0009777583181858063,0.0007552233291789889,0.0028840331360697746,1.0
