,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.0009234963217750192,0.000598203216213733,0.02067447081208229,0.007027728948742151,0.011010528542101383,0.014372332952916622,0.0012026079930365086,0.003159766783937812,0.024875007569789886,0.031009474769234657,0.007949700579047203,0.02404741384088993,0.0035792223643511534
DeiT_S,0.0009234963217750192,1.0,0.004155530594289303,4.196042937110178e-05,0.0006858592387288809,0.0008289868710562587,0.0038901055231690407,3.437199120526202e-05,1.733955627969408e-06,0.0027724073734134436,0.001558315590955317,0.0013741645961999893,0.0012199465418234468,0.0006289745215326548
DeiT_T,0.000598203216213733,0.004155530594289303,1.0,8.149400855472777e-06,0.00014217245916370302,0.0004969947040081024,0.0017720576142892241,9.927486644301098e-06,1.0010470674615135e-07,0.002366576576605439,0.0006009089411236346,0.0003831778303720057,9.353876521345228e-05,0.00268569216132164
DenseNet121,0.02067447081208229,4.196042937110178e-05,8.149400855472777e-06,1.0,0.0024617640301585197,0.001620038296096027,9.304448030889034e-05,0.0011785350507125258,0.010979521088302135,0.003042300697416067,0.0037300356198102236,0.0007913339650258422,0.0002597263373900205,0.00021512337843887508
EfficientNet_B3,0.007027728948742151,0.0006858592387288809,0.00014217245916370302,0.0024617640301585197,1.0,0.005612201988697052,0.02461450733244419,0.00015308239380829036,0.0019041515188291669,0.017311817035079002,0.02217237651348114,0.01932685263454914,0.00795058999210596,0.002048203721642494
EfficientNet_B4,0.011010528542101383,0.0008289868710562587,0.0004969947040081024,0.001620038296096027,0.005612201988697052,1.0,0.021056493744254112,0.00032445634133182466,0.00017392277368344367,0.011793308891355991,0.011737999506294727,0.0024615677539259195,0.00925803929567337,0.0004897662438452244
MobileNetV3,0.014372332952916622,0.0038901055231690407,0.0017720576142892241,9.304448030889034e-05,0.02461450733244419,0.021056493744254112,1.0,1.720388900139369e-05,6.368988465510483e-07,0.1475437581539154,0.09322413057088852,0.046370573341846466,0.030216453596949577,0.007646351587027311
PyramidViT_V2_B2,0.0012026079930365086,3.437199120526202e-05,9.927486644301098e-06,0.0011785350507125258,0.00015308239380829036,0.00032445634133182466,1.720388900139369e-05,1.0,0.0002968049084302038,0.00044145045103505254,0.0002419472875772044,9.198291081702337e-05,3.917602225556038e-05,4.0153910958906636e-05
Res2Net50,0.003159766783937812,1.733955627969408e-06,1.0010470674615135e-07,0.010979521088302135,0.0019041515188291669,0.00017392277368344367,6.368988465510483e-07,0.0002968049084302038,1.0,0.0008135824464261532,0.0015356697840616107,0.00048390976735390723,4.70373144878522e-08,0.00015511743549723178
ResNet18,0.024875007569789886,0.0027724073734134436,0.002366576576605439,0.003042300697416067,0.017311817035079002,0.011793308891355991,0.1475437581539154,0.00044145045103505254,0.0008135824464261532,1.0,0.07040785253047943,0.029520586133003235,0.0541512668132782,0.006199138704687357
ResNet50,0.031009474769234657,0.001558315590955317,0.0006009089411236346,0.0037300356198102236,0.02217237651348114,0.011737999506294727,0.09322413057088852,0.0002419472875772044,0.0015356697840616107,0.07040785253047943,1.0,0.06467539817094803,0.10659109055995941,0.0009823051514104009
ResNeXt50,0.007949700579047203,0.0013741645961999893,0.0003831778303720057,0.0007913339650258422,0.01932685263454914,0.0024615677539259195,0.046370573341846466,9.198291081702337e-05,0.00048390976735390723,0.029520586133003235,0.06467539817094803,1.0,0.041813820600509644,0.0008139656274579465
Swin_T,0.02404741384088993,0.0012199465418234468,9.353876521345228e-05,0.0002597263373900205,0.00795058999210596,0.00925803929567337,0.030216453596949577,3.917602225556038e-05,4.70373144878522e-08,0.0541512668132782,0.10659109055995941,0.041813820600509644,1.0,0.007680762559175491
ViT_B_32,0.0035792223643511534,0.0006289745215326548,0.00268569216132164,0.00021512337843887508,0.002048203721642494,0.0004897662438452244,0.007646351587027311,4.0153910958906636e-05,0.00015511743549723178,0.006199138704687357,0.0009823051514104009,0.0008139656274579465,0.007680762559175491,1.0
