,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.9990643496329698,0.9990936937385567,0.99867916206079,0.9988659577390439,0.9990179609963407,0.9992063214808933,0.9991921009863717,0.9987032541856391,0.9985605175732349,0.9990820052130069,0.9989070109513027,0.998892183247982,0.9986369307209484
DeiT_S,0.9990643496329698,0.9999999999999999,0.9993075840499265,0.9988689963870885,0.9990631940067506,0.9992165616407208,0.9994193560467506,0.9993976497716706,0.9988884581834059,0.9987664335391075,0.9992899996355872,0.9991239850666611,0.9990941945689112,0.9988443184067175
DeiT_T,0.9990936937385567,0.9993075840499265,1.0,0.9989011364620056,0.9990921717718648,0.9992456662824589,0.9994443368830814,0.999420811201998,0.9989181073199089,0.9987918122134123,0.9993167550944246,0.9991499965223478,0.9991178133344136,0.9988733631095281
DenseNet121,0.99867916206079,0.9988689963870885,0.9989011364620056,0.9999999999999999,0.9986764044411084,0.9988231800148416,0.999014457953115,0.9989929612832764,0.9985342692921606,0.9983816347272203,0.9988883258853902,0.9987262594312096,0.9986842923716918,0.9984396873206864
EfficientNet_B3,0.9988659577390439,0.9990631940067506,0.9990921717718648,0.9986764044411084,0.9999999999999999,0.9990417297398573,0.9992023233529362,0.9991850870478618,0.9986947426525804,0.9985664222511366,0.9990824214414735,0.9989220832109272,0.9988841862926029,0.9986282827693954
EfficientNet_B4,0.9990179609963407,0.9992165616407208,0.9992456662824589,0.9988231800148416,0.9990417297398573,0.9999999999999998,0.9993600557755162,0.9993386310290591,0.9988428117880273,0.9987143361949803,0.9992357275504262,0.9990688445210776,0.99903031077299,0.9987856778396168
MobileNetV3,0.9992063214808933,0.9994193560467506,0.9994443368830814,0.999014457953115,0.9992023233529362,0.9993600557755162,1.0,0.9995388889672485,0.9990328733294122,0.9989079592598638,0.9994322200220954,0.9992646290820084,0.9992374335303221,0.9989858393989295
PyramidViT_V2_B2,0.9991921009863717,0.9993976497716706,0.999420811201998,0.9989929612832764,0.9991850870478618,0.9993386310290591,0.9995388889672485,1.0,0.9990080740857923,0.998878108851786,0.9994100432660021,0.9992444623138874,0.9992206443651926,0.9989621552526785
Res2Net50,0.9987032541856391,0.9988884581834059,0.9989181073199089,0.9985342692921606,0.9986947426525804,0.9988428117880273,0.9990328733294122,0.9990080740857923,1.0000000000000002,0.9983902426045502,0.998911618394058,0.9987417286249607,0.9987119919729956,0.9984593286687171
ResNet18,0.9985605175732349,0.9987664335391075,0.9987918122134123,0.9983816347272203,0.9985664222511366,0.9987143361949803,0.9989079592598638,0.998878108851786,0.9983902426045502,1.0,0.9987855634504115,0.998612529044403,0.9985755585909675,0.998329779392692
ResNet50,0.9990820052130069,0.9992899996355872,0.9993167550944246,0.9988883258853902,0.9990824214414735,0.9992357275504262,0.9994322200220954,0.9994100432660021,0.998911618394058,0.9987855634504115,1.0,0.9991440655349009,0.9991098548778422,0.9988578408188017
ResNeXt50,0.9989070109513027,0.9991239850666611,0.9991499965223478,0.9987262594312096,0.9989220832109272,0.9990688445210776,0.9992646290820084,0.9992444623138874,0.9987417286249607,0.998612529044403,0.9991440655349009,1.0000000000000002,0.9989403841864267,0.9986903589792568
Swin_T,0.998892183247982,0.9990941945689112,0.9991178133344136,0.9986842923716918,0.9988841862926029,0.99903031077299,0.9992374335303221,0.9992206443651926,0.9987119919729956,0.9985755585909675,0.9991098548778422,0.9989403841864267,0.9999999999999999,0.9986629013334802
ViT_B_32,0.9986369307209484,0.9988443184067175,0.9988733631095281,0.9984396873206864,0.9986282827693954,0.9987856778396168,0.9989858393989295,0.9989621552526785,0.9984593286687171,0.998329779392692,0.9988578408188017,0.9986903589792568,0.9986629013334802,1.0000000000000004
