,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.9990643496329698,0.9990936937385567,0.99867916206079,0.9988533109292932,0.9990275674930433,0.9997804081352742,0.9991848378197915,0.9987032541856391,0.9985771985033857,0.9990701894835256,0.9989356445080546,0.9995004021528295,0.9986369307209484
DeiT_S,0.9990643496329698,0.9999999999999999,0.9993075840499265,0.9988689963870885,0.9990423446603176,0.9992010207499831,0.9998853226462544,0.999391848053001,0.9988884581834059,0.9987521507873246,0.9992800993686601,0.9990915106125188,0.9993366052104246,0.9988443184067175
DeiT_T,0.9990936937385567,0.9993075840499265,1.0,0.9989011364620056,0.9990760817941015,0.999232313161819,0.9997593521170184,0.9994177610342999,0.9989181073199089,0.9987882271242217,0.999313560546362,0.9991351365156029,0.9995487859359826,0.9988733631095281
DenseNet121,0.99867916206079,0.9988689963870885,0.9989011364620056,0.9999999999999999,0.9986685885355153,0.9988205321678586,0.9997593295053058,0.9990037793466928,0.9985342692921606,0.998363570547328,0.9988750689058843,0.998711444467,0.9993258356622352,0.9984396873206864
EfficientNet_B3,0.9988533109292932,0.9990423446603176,0.9990760817941015,0.9986685885355153,0.9999999999999999,0.9990307177939424,0.9994080358253639,0.9991685576252279,0.9986918676564425,0.9985587657360844,0.9990619306920151,0.9989207594131918,0.9991808700633326,0.9986821416411715
EfficientNet_B4,0.9990275674930433,0.9992010207499831,0.999232313161819,0.9988205321678586,0.9990307177939424,0.9999999999999998,0.9997046588246296,0.9993271299172897,0.9988619766968133,0.998706423092731,0.9992227836348752,0.9990454438100967,0.9994766094048531,0.9987785795940218
MobileNetV3,0.9997804081352742,0.9998853226462544,0.9997593521170184,0.9997593295053058,0.9994080358253639,0.9997046588246296,1.0,0.999733350641602,0.9993612393606367,0.9993167349371527,0.9997550349161995,0.999726908675168,0.9994974083774489,0.9997773934759097
PyramidViT_V2_B2,0.9991848378197915,0.999391848053001,0.9994177610342999,0.9990037793466928,0.9991685576252279,0.9993271299172897,0.999733350641602,1.0,0.9990061494080357,0.9988623917752164,0.9994023598275116,0.9992520968538027,0.9995251231330682,0.9989505933760456
Res2Net50,0.9987032541856391,0.9988884581834059,0.9989181073199089,0.9985342692921606,0.9986918676564425,0.9988619766968133,0.9993612393606367,0.9990061494080357,1.0000000000000002,0.9984274816668545,0.9989056969268185,0.9987568585899635,0.9989700724129654,0.9984593286687171
ResNet18,0.9985771985033857,0.9987521507873246,0.9987882271242217,0.998363570547328,0.9985587657360844,0.998706423092731,0.9993167349371527,0.9988623917752164,0.9984274816668545,1.0,0.9987966447562289,0.9985511838329751,0.9986217894004427,0.9983414154065889
ResNet50,0.9990701894835256,0.9992800993686601,0.999313560546362,0.9988750689058843,0.9990619306920151,0.9992227836348752,0.9997550349161995,0.9994023598275116,0.9989056969268185,0.9987966447562289,1.0,0.9991450634916947,0.9995162460086373,0.9988408308117692
ResNeXt50,0.9989356445080546,0.9990915106125188,0.9991351365156029,0.998711444467,0.9989207594131918,0.9990454438100967,0.999726908675168,0.9992520968538027,0.9987568585899635,0.9985511838329751,0.9991450634916947,1.0000000000000002,0.9991921905048085,0.998697987585954
Swin_T,0.9995004021528295,0.9993366052104246,0.9995487859359826,0.9993258356622352,0.9991808700633326,0.9994766094048531,0.9994974083774489,0.9995251231330682,0.9989700724129654,0.9986217894004427,0.9995162460086373,0.9991921905048085,0.9999999999999999,0.999515812294675
ViT_B_32,0.9986369307209484,0.9988443184067175,0.9988733631095281,0.9984396873206864,0.9986821416411715,0.9987785795940218,0.9997773934759097,0.9989505933760456,0.9984593286687171,0.9983414154065889,0.9988408308117692,0.998697987585954,0.999515812294675,1.0000000000000004
