,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.40089803944664165,0.5079115882338573,0.23302704052042514,0.31084426901222306,0.36975979423603017,0.45681155699370746,0.5416552711906837,0.27955130329038147,0.5123145924339622,0.5466644958441287,0.49490931871806026,0.3757035504947811,0.5349881933255984
DeiT_S,0.40089803944664165,1.0,0.4887925804225809,0.3719009708142613,0.6880269762186662,0.48994738198515564,0.38964295997144804,0.586324376853455,0.35583716395647336,0.502566414203812,0.45811047456575216,0.5510651434159501,0.4970326917310792,0.7095712462248429
DeiT_T,0.5079115882338573,0.4887925804225809,1.0,0.2271152796499104,0.5401196713131025,0.5425721361068411,0.3851813361902065,0.41983069248755644,0.367694766126402,0.5098996231224053,0.45367943740937655,0.46961894632504464,0.6970009593267525,0.6223944549287765
DenseNet121,0.23302704052042514,0.3719009708142613,0.2271152796499104,1.0,0.32347890245793537,0.3494914302200146,0.15100300340182743,0.4874734682940046,0.311649012887816,0.3653067044192529,0.38714837961013304,0.2702616487616639,0.30686348414778997,0.3208189950021806
EfficientNet_B3,0.31084426901222306,0.6880269762186662,0.5401196713131025,0.32347890245793537,1.0,0.41106978491135693,0.2733633829597979,0.43032467704020433,0.34960664151140947,0.46478700451655663,0.3661071222668002,0.5620663722531021,0.4593840740754411,0.5509667802652266
EfficientNet_B4,0.36975979423603017,0.48994738198515564,0.5425721361068411,0.3494914302200146,0.41106978491135693,1.0,0.4494133556552356,0.6962703535131024,0.453323896960129,0.4504721081424388,0.33170515235925985,0.35959352716692294,0.4841955623046565,0.5393306514683507
MobileNetV3,0.45681155699370746,0.38964295997144804,0.3851813361902065,0.15100300340182743,0.2733633829597979,0.4494133556552356,1.0,0.4744215889385467,0.253484412699267,0.3483145673937875,0.35981267988876503,0.3780358470905792,0.36392330815451246,0.48879489921190966
PyramidViT_V2_B2,0.5416552711906837,0.586324376853455,0.41983069248755644,0.4874734682940046,0.43032467704020433,0.6962703535131024,0.4744215889385467,1.0,0.37190855969061637,0.4211462012001792,0.4859998543105522,0.35223070313156657,0.3825739972318861,0.5976662565471531
Res2Net50,0.27955130329038147,0.35583716395647336,0.367694766126402,0.311649012887816,0.34960664151140947,0.453323896960129,0.253484412699267,0.37190855969061637,1.0,0.47151189237994784,0.439721325517371,0.46186457645575996,0.4133494841104832,0.3848676711185872
ResNet18,0.5123145924339622,0.502566414203812,0.5098996231224053,0.3653067044192529,0.46478700451655663,0.4504721081424388,0.3483145673937875,0.4211462012001792,0.47151189237994784,1.0,0.45052038109538733,0.6800230702426112,0.5758795947212053,0.5489128456805821
ResNet50,0.5466644958441287,0.45811047456575216,0.45367943740937655,0.38714837961013304,0.3661071222668002,0.33170515235925985,0.35981267988876503,0.4859998543105522,0.439721325517371,0.45052038109538733,1.0,0.3961352468058609,0.5037227591741201,0.6211279184693417
ResNeXt50,0.49490931871806026,0.5510651434159501,0.46961894632504464,0.2702616487616639,0.5620663722531021,0.35959352716692294,0.3780358470905792,0.35223070313156657,0.46186457645575996,0.6800230702426112,0.3961352468058609,1.0,0.41308663477180907,0.5447826255221857
Swin_T,0.3757035504947811,0.4970326917310792,0.6970009593267525,0.30686348414778997,0.4593840740754411,0.4841955623046565,0.36392330815451246,0.3825739972318861,0.4133494841104832,0.5758795947212053,0.5037227591741201,0.41308663477180907,1.0,0.5403474164529101
ViT_B_32,0.5349881933255984,0.7095712462248429,0.6223944549287765,0.3208189950021806,0.5509667802652266,0.5393306514683507,0.48879489921190966,0.5976662565471531,0.3848676711185872,0.5489128456805821,0.6211279184693417,0.5447826255221857,0.5403474164529101,1.0
