,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.9999971389770508,0.9256258010864258,0.9305353164672852,0.9280016422271729,0.941290557384491,0.918281078338623,0.9102441072463989,0.9309346675872803,0.9266862869262695,0.9284923076629639,0.9336932897567749,0.9234759211540222,0.9214937090873718,0.9238230586051941
DeiT_S,0.9256258010864258,1.0000009536743164,0.9304617047309875,0.9302420616149902,0.9433093070983887,0.9219285249710083,0.9056963324546814,0.9253740310668945,0.9194772839546204,0.924541175365448,0.923003613948822,0.9240257143974304,0.919550895690918,0.9215160012245178
DeiT_T,0.9305353164672852,0.9304617047309875,1.000002384185791,0.9363338947296143,0.9405052065849304,0.9228396415710449,0.904263973236084,0.9316364526748657,0.9303597807884216,0.9309000372886658,0.9305477142333984,0.9205941557884216,0.9186988472938538,0.9250019788742065
DenseNet121,0.9280016422271729,0.9302420616149902,0.9363338947296143,0.9999978542327881,0.9425690174102783,0.9285614490509033,0.9083796143531799,0.9322465658187866,0.9326390027999878,0.9371331334114075,0.9292578101158142,0.9263984560966492,0.9201907515525818,0.9357441067695618
EfficientNet_B3,0.941290557384491,0.9433093070983887,0.9405052065849304,0.9425690174102783,1.0000007152557373,0.9392371773719788,0.9333354830741882,0.9495119452476501,0.9341239333152771,0.9400695562362671,0.9440444111824036,0.9521381855010986,0.9440761208534241,0.928572416305542
EfficientNet_B4,0.918281078338623,0.9219285249710083,0.9228396415710449,0.9285614490509033,0.9392371773719788,0.9999999403953552,0.9014819264411926,0.9248252511024475,0.9222795367240906,0.928869366645813,0.9222363829612732,0.920461893081665,0.9152830839157104,0.9152565002441406
MobileNetV3,0.9102441072463989,0.9056963324546814,0.904263973236084,0.9083796143531799,0.9333354830741882,0.9014819264411926,1.0000008344650269,0.9137327075004578,0.8984161615371704,0.9054499864578247,0.907547652721405,0.9144948124885559,0.9089349508285522,0.8925000429153442
PyramidViT_V2_B2,0.9309346675872803,0.9253740310668945,0.9316364526748657,0.9322465658187866,0.9495119452476501,0.9248252511024475,0.9137327075004578,0.9999973177909851,0.9276042580604553,0.9247495532035828,0.9352267384529114,0.9275006651878357,0.9275394082069397,0.9221063852310181
Res2Net50,0.9266862869262695,0.9194772839546204,0.9303597807884216,0.9326390027999878,0.9341239333152771,0.9222795367240906,0.8984161615371704,0.9276042580604553,1.000000238418579,0.9289256930351257,0.9277799725532532,0.9142571687698364,0.917210042476654,0.9220890402793884
ResNet18,0.9284923076629639,0.924541175365448,0.9309000372886658,0.9371331334114075,0.9400695562362671,0.928869366645813,0.9054499864578247,0.9247495532035828,0.9289256930351257,0.999997615814209,0.9316520690917969,0.9218068718910217,0.9134385585784912,0.9237552285194397
ResNet50,0.9336932897567749,0.923003613948822,0.9305477142333984,0.9292578101158142,0.9440444111824036,0.9222363829612732,0.907547652721405,0.9352267384529114,0.9277799725532532,0.9316520690917969,0.999998927116394,0.9279013276100159,0.9201146364212036,0.9193345308303833
ResNeXt50,0.9234759211540222,0.9240257143974304,0.9205941557884216,0.9263984560966492,0.9521381855010986,0.920461893081665,0.9144948124885559,0.9275006651878357,0.9142571687698364,0.9218068718910217,0.9279013276100159,1.000002145767212,0.9227944612503052,0.913978099822998
Swin_T,0.9214937090873718,0.919550895690918,0.9186988472938538,0.9201907515525818,0.9440761208534241,0.9152830839157104,0.9089349508285522,0.9275394082069397,0.917210042476654,0.9134385585784912,0.9201146364212036,0.9227944612503052,1.0000032186508179,0.9094849824905396
ViT_B_32,0.9238230586051941,0.9215160012245178,0.9250019788742065,0.9357441067695618,0.928572416305542,0.9152565002441406,0.8925000429153442,0.9221063852310181,0.9220890402793884,0.9237552285194397,0.9193345308303833,0.913978099822998,0.9094849824905396,0.9999994039535522
