,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.9999971389770508,0.9256258010864258,0.9305353164672852,0.9280016422271729,0.9407461881637573,0.916604220867157,0.9212800860404968,0.9302118420600891,0.9266862869262695,0.9270612597465515,0.9327719211578369,0.9215872883796692,0.9124695062637329,0.9238230586051941
DeiT_S,0.9256258010864258,1.0000009536743164,0.9304617047309875,0.9302420616149902,0.9428479671478271,0.9195826649665833,0.9298202991485596,0.924811840057373,0.9194772839546204,0.9226241707801819,0.921985387802124,0.9224541783332825,0.9186972975730896,0.9215160012245178
DeiT_T,0.9305353164672852,0.9304617047309875,1.000002384185791,0.9363338947296143,0.9407933950424194,0.9209540486335754,0.9440292716026306,0.9316888451576233,0.9303597807884216,0.9298897385597229,0.9295868277549744,0.9216979146003723,0.927704930305481,0.9250019788742065
DenseNet121,0.9280016422271729,0.9302420616149902,0.9363338947296143,0.9999978542327881,0.943962812423706,0.9274131059646606,0.9640233516693115,0.9317314624786377,0.9326390027999878,0.9361166954040527,0.9283732771873474,0.9273451566696167,0.9368213415145874,0.9357441067695618
EfficientNet_B3,0.9407461881637573,0.9428479671478271,0.9407933950424194,0.943962812423706,1.0000007152557373,0.9377825260162354,0.9515803456306458,0.9488877058029175,0.9344304203987122,0.9411219954490662,0.9442218542098999,0.9518513083457947,0.9458693861961365,0.9320143461227417
EfficientNet_B4,0.916604220867157,0.9195826649665833,0.9209540486335754,0.9274131059646606,0.9377825260162354,0.9999999403953552,0.9493117332458496,0.9242200255393982,0.9210663437843323,0.9255650043487549,0.9195964336395264,0.9205617904663086,0.9201824069023132,0.9138632416725159
MobileNetV3,0.9212800860404968,0.9298202991485596,0.9440292716026306,0.9640233516693115,0.9515803456306458,0.9493117332458496,1.0000008344650269,0.9355673789978027,0.926961362361908,0.9133873581886292,0.9145001769065857,0.9224622845649719,0.9165183305740356,0.9414032101631165
PyramidViT_V2_B2,0.9302118420600891,0.924811840057373,0.9316888451576233,0.9317314624786377,0.9488877058029175,0.9242200255393982,0.9355673789978027,0.9999973177909851,0.9273356199264526,0.923417329788208,0.9341979026794434,0.931549072265625,0.9334551692008972,0.922198474407196
Res2Net50,0.9266862869262695,0.9194772839546204,0.9303597807884216,0.9326390027999878,0.9344304203987122,0.9210663437843323,0.926961362361908,0.9273356199264526,1.000000238418579,0.9285361766815186,0.9269083142280579,0.9193329215049744,0.9011508822441101,0.9220890402793884
ResNet18,0.9270612597465515,0.9226241707801819,0.9298897385597229,0.9361166954040527,0.9411219954490662,0.9255650043487549,0.9133873581886292,0.923417329788208,0.9285361766815186,0.999997615814209,0.9328023195266724,0.9214944243431091,0.8845033049583435,0.9230607748031616
ResNet50,0.9327719211578369,0.921985387802124,0.9295868277549744,0.9283732771873474,0.9442218542098999,0.9195964336395264,0.9145001769065857,0.9341979026794434,0.9269083142280579,0.9328023195266724,0.999998927116394,0.9286525249481201,0.9018390774726868,0.9182938933372498
ResNeXt50,0.9215872883796692,0.9224541783332825,0.9216979146003723,0.9273451566696167,0.9518513083457947,0.9205617904663086,0.9224622845649719,0.931549072265625,0.9193329215049744,0.9214944243431091,0.9286525249481201,1.000002145767212,0.9212932586669922,0.9130907654762268
Swin_T,0.9124695062637329,0.9186972975730896,0.927704930305481,0.9368213415145874,0.9458693861961365,0.9201824069023132,0.9165183305740356,0.9334551692008972,0.9011508822441101,0.8845033049583435,0.9018390774726868,0.9212932586669922,1.0000032186508179,0.926591157913208
ViT_B_32,0.9238230586051941,0.9215160012245178,0.9250019788742065,0.9357441067695618,0.9320143461227417,0.9138632416725159,0.9414032101631165,0.922198474407196,0.9220890402793884,0.9230607748031616,0.9182938933372498,0.9130907654762268,0.926591157913208,0.9999994039535522
