,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.006477778777480125,0.011431945487856865,0.012373799458146095,0.00903134886175394,0.004978579934686422,0.0001397546730004251,0.0028796291444450617,0.00830397754907608,0.017577463760972023,0.013867207802832127,0.004210593644529581,0.0017616871045902371,0.008299789391458035
DeiT_S,0.006477778777480125,1.0,0.01828056201338768,0.01898314617574215,0.00878080353140831,0.005422993563115597,9.813187352847308e-05,0.00034893632982857525,0.006304863374680281,0.008839673362672329,0.01073551643639803,0.004862625617533922,0.0033152129035443068,0.006885995157063007
DeiT_T,0.011431945487856865,0.01828056201338768,1.0,0.01561583299189806,0.015357806347310543,0.0065118796192109585,3.984719660365954e-05,0.002347870497033,0.014793151058256626,0.013547941111028194,0.006746172904968262,0.0007852609269320965,0.00551596749573946,0.017968052998185158
DenseNet121,0.012373799458146095,0.01898314617574215,0.01561583299189806,1.0,0.006376966834068298,0.029941441491246223,0.0001668847253313288,0.006279249209910631,0.01132916659116745,0.01623525843024254,0.004153162706643343,0.007546259090304375,0.00379877258092165,0.009825779125094414
EfficientNet_B3,0.00903134886175394,0.00878080353140831,0.015357806347310543,0.006376966834068298,1.0,0.0017713524866849184,0.0011634309776127338,0.005491647869348526,0.002113522496074438,0.01899489015340805,0.0018095746636390686,0.01484786905348301,0.005456527695059776,0.003656502114608884
EfficientNet_B4,0.004978579934686422,0.005422993563115597,0.0065118796192109585,0.029941441491246223,0.0017713524866849184,1.0,0.0003325250290799886,0.004670675843954086,0.00976910162717104,0.014485087245702744,0.0015668119303882122,0.0030804192647337914,0.001355626038275659,0.011679505929350853
MobileNetV3,0.0001397546730004251,9.813187352847308e-05,3.984719660365954e-05,0.0001668847253313288,0.0011634309776127338,0.0003325250290799886,1.0,0.00013112821034155786,0.0011448463192209601,0.0005053515778854489,0.0005550050409510732,0.00044047998380847275,0.00017600147111807019,0.001144678215496242
PyramidViT_V2_B2,0.0028796291444450617,0.00034893632982857525,0.002347870497033,0.006279249209910631,0.005491647869348526,0.004670675843954086,0.00013112821034155786,1.0,0.0051894173957407475,0.008227412588894367,0.001646124292165041,0.0018665489042177796,0.0020687987562268972,0.0027936503756791353
Res2Net50,0.00830397754907608,0.006304863374680281,0.014793151058256626,0.01132916659116745,0.002113522496074438,0.00976910162717104,0.0011448463192209601,0.0051894173957407475,1.0,0.01724063977599144,0.015216439962387085,0.0036833856720477343,0.00048652198165655136,0.03197968751192093
ResNet18,0.017577463760972023,0.008839673362672329,0.013547941111028194,0.01623525843024254,0.01899489015340805,0.014485087245702744,0.0005053515778854489,0.008227412588894367,0.01724063977599144,1.0,0.010767788626253605,0.00691390223801136,0.001204356667585671,0.019370831549167633
ResNet50,0.013867207802832127,0.01073551643639803,0.006746172904968262,0.004153162706643343,0.0018095746636390686,0.0015668119303882122,0.0005550050409510732,0.001646124292165041,0.015216439962387085,0.010767788626253605,1.0,0.014760030433535576,0.0001752917596604675,0.012631958350539207
ResNeXt50,0.004210593644529581,0.004862625617533922,0.0007852609269320965,0.007546259090304375,0.01484786905348301,0.0030804192647337914,0.00044047998380847275,0.0018665489042177796,0.0036833856720477343,0.00691390223801136,0.014760030433535576,1.0,0.002508518286049366,0.007257250603288412
Swin_T,0.0017616871045902371,0.0033152129035443068,0.00551596749573946,0.00379877258092165,0.005456527695059776,0.001355626038275659,0.00017600147111807019,0.0020687987562268972,0.00048652198165655136,0.001204356667585671,0.0001752917596604675,0.002508518286049366,1.0,0.002217446453869343
ViT_B_32,0.008299789391458035,0.006885995157063007,0.017968052998185158,0.009825779125094414,0.003656502114608884,0.011679505929350853,0.001144678215496242,0.0027936503756791353,0.03197968751192093,0.019370831549167633,0.012631958350539207,0.007257250603288412,0.002217446453869343,1.0
