,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.006477778777480125,0.011431945487856865,0.012373799458146095,0.00904458574950695,0.005010463297367096,0.00021090632071718574,0.0028229320887476206,0.00830397754907608,0.016972413286566734,0.012499134056270123,0.004454322159290314,0.00016315022367052734,0.008299789391458035
DeiT_S,0.006477778777480125,1.0,0.01828056201338768,0.01898314617574215,0.009049286134541035,0.005162349436432123,0.0013238787651062012,0.00035423465305939317,0.006304863374680281,0.007521133869886398,0.007156464271247387,0.004343478940427303,0.0005761469947174191,0.006885995157063007
DeiT_T,0.011431945487856865,0.01828056201338768,1.0,0.01561583299189806,0.015828512609004974,0.006659398321062326,6.133143324404955e-05,0.002348880749195814,0.014793151058256626,0.013823137618601322,0.006849885918200016,0.0008858518558554351,0.0012033253442496061,0.017968052998185158
DenseNet121,0.012373799458146095,0.01898314617574215,0.01561583299189806,1.0,0.006521861534565687,0.029103484004735947,0.0008882645634002984,0.005482682026922703,0.01132916659116745,0.01604488305747509,0.003192182397469878,0.005534754134714603,0.0031030031386762857,0.009825779125094414
EfficientNet_B3,0.00904458574950695,0.009049286134541035,0.015828512609004974,0.006521861534565687,1.0,0.0017942707054316998,0.0006793203647248447,0.005177642218768597,0.0021797972731292248,0.020290903747081757,0.0018437745748087764,0.013827154412865639,0.001504932646639645,0.003774326527491212
EfficientNet_B4,0.005010463297367096,0.005162349436432123,0.006659398321062326,0.029103484004735947,0.0017942707054316998,1.0,0.0005996876279823482,0.004692243877798319,0.010119829326868057,0.01249217800796032,0.0005426456918939948,0.001998401014134288,0.0017590366769582033,0.01206692960113287
MobileNetV3,0.00021090632071718574,0.0013238787651062012,6.133143324404955e-05,0.0008882645634002984,0.0006793203647248447,0.0005996876279823482,1.0,0.00010309056960977614,0.0057732644490897655,1.7339216356049292e-05,0.00019479944603517652,0.0006297893123701215,2.388965913269203e-05,0.0051658619195222855
PyramidViT_V2_B2,0.0028229320887476206,0.00035423465305939317,0.002348880749195814,0.005482682026922703,0.005177642218768597,0.004692243877798319,0.00010309056960977614,1.0,0.005088708829134703,0.008160900324583054,0.0016606192803010345,0.0020822302903980017,0.00029745002393610775,0.002832540776580572
Res2Net50,0.00830397754907608,0.006304863374680281,0.014793151058256626,0.01132916659116745,0.0021797972731292248,0.010119829326868057,0.0057732644490897655,0.005088708829134703,1.0,0.016697542741894722,0.01352960616350174,0.0042095063254237175,3.967921202274738e-06,0.03197968751192093
ResNet18,0.016972413286566734,0.007521133869886398,0.013823137618601322,0.01604488305747509,0.020290903747081757,0.01249217800796032,1.7339216356049292e-05,0.008160900324583054,0.016697542741894722,1.0,0.011048626154661179,0.0052016181871294975,2.208937075920403e-05,0.019085019826889038
ResNet50,0.012499134056270123,0.007156464271247387,0.006849885918200016,0.003192182397469878,0.0018437745748087764,0.0005426456918939948,0.00019479944603517652,0.0016606192803010345,0.01352960616350174,0.011048626154661179,1.0,0.00976505596190691,5.081964627606794e-05,0.010912690311670303
ResNeXt50,0.004454322159290314,0.004343478940427303,0.0008858518558554351,0.005534754134714603,0.013827154412865639,0.001998401014134288,0.0006297893123701215,0.0020822302903980017,0.0042095063254237175,0.0052016181871294975,0.00976505596190691,1.0,2.507077169866534e-06,0.00826973281800747
Swin_T,0.00016315022367052734,0.0005761469947174191,0.0012033253442496061,0.0031030031386762857,0.001504932646639645,0.0017590366769582033,2.388965913269203e-05,0.00029745002393610775,3.967921202274738e-06,2.208937075920403e-05,5.081964627606794e-05,2.507077169866534e-06,1.0,8.067853923421353e-05
ViT_B_32,0.008299789391458035,0.006885995157063007,0.017968052998185158,0.009825779125094414,0.003774326527491212,0.01206692960113287,0.0051658619195222855,0.002832540776580572,0.03197968751192093,0.019085019826889038,0.010912690311670303,0.00826973281800747,8.067853923421353e-05,1.0
