,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0000009536743164,0.6150314807891846,0.6015212535858154,0.6826924681663513,0.66274094581604,0.6735703349113464,0.7368987798690796,0.6145867705345154,0.6448650360107422,0.7361647486686707,0.7070324420928955,0.6344850659370422,0.6917909979820251,0.5003361105918884
DeiT_S,0.6150314807891846,1.0000005960464478,0.6782724857330322,0.6929528117179871,0.6618112921714783,0.694938063621521,0.7062124013900757,0.6487609148025513,0.671094536781311,0.6968327760696411,0.6930680274963379,0.6192579865455627,0.7010693550109863,0.48750928044319153
DeiT_T,0.6015212535858154,0.6782724857330322,0.9980477094650269,0.6664664149284363,0.6368844509124756,0.6759324073791504,0.6893771290779114,0.6103547811508179,0.6377356052398682,0.6853136420249939,0.6653141379356384,0.587675929069519,0.6702380776405334,0.4730883836746216
DenseNet121,0.6826924681663513,0.6929528117179871,0.6664664149284363,1.0,0.8657366037368774,0.8853327631950378,0.8600195050239563,0.8610260486602783,0.9335068464279175,0.8882932066917419,0.8909882307052612,0.7907470464706421,0.8414760828018188,0.5556574463844299
EfficientNet_B3,0.66274094581604,0.6618112921714783,0.6368844509124756,0.8657366037368774,1.0000004768371582,0.8703818321228027,0.8338596820831299,0.7751425504684448,0.8798569440841675,0.8706783056259155,0.8802400827407837,0.8332279920578003,0.8215306997299194,0.5408396124839783
EfficientNet_B4,0.6735703349113464,0.694938063621521,0.6759324073791504,0.8853327631950378,0.8703818321228027,1.0000004768371582,0.8533021211624146,0.8258981704711914,0.8690548539161682,0.8757494688034058,0.8842291831970215,0.7909517884254456,0.8509125113487244,0.5622726678848267
MobileNetV3,0.7368987798690796,0.7062124013900757,0.6893771290779114,0.8600195050239563,0.8338596820831299,0.8533021211624146,1.0000004768371582,0.7752663493156433,0.8348932266235352,0.8698687553405762,0.8587846755981445,0.7656875252723694,0.8262088298797607,0.577298104763031
PyramidViT_V2_B2,0.6145867705345154,0.6487609148025513,0.6103547811508179,0.8610260486602783,0.7751425504684448,0.8258981704711914,0.7752663493156433,1.0000003576278687,0.842614471912384,0.784566342830658,0.7889429330825806,0.7009750008583069,0.8006336688995361,0.523343563079834
Res2Net50,0.6448650360107422,0.671094536781311,0.6377356052398682,0.9335068464279175,0.8798569440841675,0.8690548539161682,0.8348932266235352,0.842614471912384,1.000000238418579,0.8624158501625061,0.8756841421127319,0.8078826665878296,0.8110074996948242,0.5447951555252075
ResNet18,0.7361647486686707,0.6968327760696411,0.6853136420249939,0.8882932066917419,0.8706783056259155,0.8757494688034058,0.8698687553405762,0.784566342830658,0.8624158501625061,1.0000007152557373,0.913995623588562,0.8108446002006531,0.8572959899902344,0.5632922053337097
ResNet50,0.7070324420928955,0.6930680274963379,0.6653141379356384,0.8909882307052612,0.8802400827407837,0.8842291831970215,0.8587846755981445,0.7889429330825806,0.8756841421127319,0.913995623588562,1.000001072883606,0.8571009635925293,0.8776516914367676,0.5454694032669067
ResNeXt50,0.6344850659370422,0.6192579865455627,0.587675929069519,0.7907470464706421,0.8332279920578003,0.7909517884254456,0.7656875252723694,0.7009750008583069,0.8078826665878296,0.8108446002006531,0.8571009635925293,0.9960949420928955,0.7887755632400513,0.4879648685455322
Swin_T,0.6917909979820251,0.7010693550109863,0.6702380776405334,0.8414760828018188,0.8215306997299194,0.8509125113487244,0.8262088298797607,0.8006336688995361,0.8110074996948242,0.8572959899902344,0.8776516914367676,0.7887755632400513,1.0000008344650269,0.557378888130188
ViT_B_32,0.5003361105918884,0.48750928044319153,0.4730883836746216,0.5556574463844299,0.5408396124839783,0.5622726678848267,0.577298104763031,0.523343563079834,0.5447951555252075,0.5632922053337097,0.5454694032669067,0.4879648685455322,0.557378888130188,0.9511722922325134
