,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0000009536743164,0.6358587741851807,0.6342407464981079,0.701816201210022,0.6761592030525208,0.688104510307312,0.7586443424224854,0.6231402158737183,0.654496967792511,0.7626405954360962,0.7210115790367126,0.6556408405303955,0.7023501396179199,0.5149951577186584
DeiT_S,0.6358587741851807,1.0000005960464478,0.7362111806869507,0.7163668870925903,0.6841910481452942,0.7185895442962646,0.7295161485671997,0.6621734499931335,0.6848930716514587,0.7275490760803223,0.7133534550666809,0.6455914974212646,0.7208863496780396,0.5044680237770081
DeiT_T,0.6342407464981079,0.7362111806869507,0.9980477094650269,0.6847516894340515,0.6530731320381165,0.6975669264793396,0.7170646786689758,0.629629373550415,0.6520106792449951,0.7094354629516602,0.6881734728813171,0.6323487758636475,0.6992594599723816,0.5032359957695007
DenseNet121,0.701816201210022,0.7163668870925903,0.6847516894340515,1.0,0.8782186508178711,0.898307204246521,0.8742381930351257,0.8718984127044678,0.9441877007484436,0.905876874923706,0.9063688516616821,0.8371904492378235,0.855966329574585,0.5731160044670105
EfficientNet_B3,0.6761592030525208,0.6841910481452942,0.6530731320381165,0.8782186508178711,1.0000004768371582,0.882429838180542,0.8471070528030396,0.7860649228096008,0.8883578777313232,0.8850680589675903,0.8910365700721741,0.8623059988021851,0.8368255496025085,0.5570133328437805
EfficientNet_B4,0.688104510307312,0.7185895442962646,0.6975669264793396,0.898307204246521,0.882429838180542,1.0000004768371582,0.8684470653533936,0.8370466232299805,0.8826764225959778,0.8915190696716309,0.8958050608634949,0.8156698942184448,0.8646527528762817,0.5779635310173035
MobileNetV3,0.7586443424224854,0.7295161485671997,0.7170646786689758,0.8742381930351257,0.8471070528030396,0.8684470653533936,1.0000004768371582,0.7884693741798401,0.8432082533836365,0.8879788517951965,0.8697527050971985,0.7958058714866638,0.8416992425918579,0.5953698754310608
PyramidViT_V2_B2,0.6231402158737183,0.6621734499931335,0.629629373550415,0.8718984127044678,0.7860649228096008,0.8370466232299805,0.7884693741798401,1.0000003576278687,0.8505032062530518,0.7967526316642761,0.7963918447494507,0.7196009755134583,0.8060449361801147,0.532960057258606
Res2Net50,0.654496967792511,0.6848930716514587,0.6520106792449951,0.9441877007484436,0.8883578777313232,0.8826764225959778,0.8432082533836365,0.8505032062530518,1.000000238418579,0.875235915184021,0.8838338851928711,0.8325350880622864,0.8196938037872314,0.556679904460907
ResNet18,0.7626405954360962,0.7275490760803223,0.7094354629516602,0.905876874923706,0.8850680589675903,0.8915190696716309,0.8879788517951965,0.7967526316642761,0.875235915184021,1.0000007152557373,0.9287770390510559,0.8568888306617737,0.8769182562828064,0.5789069533348083
ResNet50,0.7210115790367126,0.7133534550666809,0.6881734728813171,0.9063688516616821,0.8910365700721741,0.8958050608634949,0.8697527050971985,0.7963918447494507,0.8838338851928711,0.9287770390510559,1.000001072883606,0.8890160918235779,0.8887779712677002,0.558849036693573
ResNeXt50,0.6556408405303955,0.6455914974212646,0.6323487758636475,0.8371904492378235,0.8623059988021851,0.8156698942184448,0.7958058714866638,0.7196009755134583,0.8325350880622864,0.8568888306617737,0.8890160918235779,0.9960949420928955,0.8147398233413696,0.5107361078262329
Swin_T,0.7023501396179199,0.7208863496780396,0.6992594599723816,0.855966329574585,0.8368255496025085,0.8646527528762817,0.8416992425918579,0.8060449361801147,0.8196938037872314,0.8769182562828064,0.8887779712677002,0.8147398233413696,1.0000008344650269,0.5735040903091431
ViT_B_32,0.5149951577186584,0.5044680237770081,0.5032359957695007,0.5731160044670105,0.5570133328437805,0.5779635310173035,0.5953698754310608,0.532960057258606,0.556679904460907,0.5789069533348083,0.558849036693573,0.5107361078262329,0.5735040903091431,0.9511722922325134
