,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.011477869004011154,0.016655202955007553,1.3687533282791264e-05,0.00427325488999486,0.013474097475409508,0.0413367934525013,0.00023209708160720766,8.268044439319056e-06,0.03886880353093147,0.019024578854441643,0.011768020689487457,0.012098165228962898,0.02632465586066246
DeiT_S,0.011477869004011154,1.0,0.03730519860982895,4.175769936409779e-05,0.0007373225525952876,0.0019120789365842938,0.005670558195561171,7.315802213270217e-05,5.5735996284056455e-05,0.004683169070631266,0.003333158791065216,0.0015002776635810733,0.003999744541943073,0.0035419894848018885
DeiT_T,0.016655202955007553,0.03730519860982895,1.0,2.385455900366651e-06,0.0004324567853473127,0.002052805619314313,0.007245778106153011,1.3485186173056718e-05,3.404688413866097e-06,0.005243469960987568,0.002467211801558733,0.001083330251276493,0.0024626138620078564,0.004908173345029354
DenseNet121,1.3687533282791264e-05,4.175769936409779e-05,2.385455900366651e-06,1.0,0.002116349060088396,0.0039689624682068825,0.0011826683767139912,0.0013859090395271778,0.03325274586677551,0.0021580299362540245,0.00219901604577899,0.0005062707350589335,0.0021675960160791874,0.00011758865730371326
EfficientNet_B3,0.00427325488999486,0.0007373225525952876,0.0004324567853473127,0.002116349060088396,1.0,0.017423506826162338,0.015141651965677738,0.00035095930797979236,0.004050218965858221,0.03667081147432327,0.04478021338582039,0.04991738870739937,0.012191771529614925,0.0018131985561922193
EfficientNet_B4,0.013474097475409508,0.0019120789365842938,0.002052805619314313,0.0039689624682068825,0.017423506826162338,1.0,0.028767963871359825,0.0009358171373605728,0.0013531597796827555,0.033400245010852814,0.03555788844823837,0.01294094230979681,0.018651166930794716,0.0038104457780718803
MobileNetV3,0.0413367934525013,0.005670558195561171,0.007245778106153011,0.0011826683767139912,0.015141651965677738,0.028767963871359825,1.0,0.00030088573112152517,0.0002914077485911548,0.07550542056560516,0.049118779599666595,0.020114898681640625,0.028153186663985252,0.010235767811536789
PyramidViT_V2_B2,0.00023209708160720766,7.315802213270217e-05,1.3485186173056718e-05,0.0013859090395271778,0.00035095930797979236,0.0009358171373605728,0.00030088573112152517,1.0,0.0006534248241223395,0.0007047117105685174,0.0006657026242464781,0.00011044470011256635,0.0009276329074054956,0.00012143881758674979
Res2Net50,8.268044439319056e-06,5.5735996284056455e-05,3.404688413866097e-06,0.03325274586677551,0.004050218965858221,0.0013531597796827555,0.0002914077485911548,0.0006534248241223395,1.0,0.0011124486336484551,0.0016022612107917666,0.00046874492545612156,0.0003338971291668713,3.32278577843681e-05
ResNet18,0.03886880353093147,0.004683169070631266,0.005243469960987568,0.0021580299362540245,0.03667081147432327,0.033400245010852814,0.07550542056560516,0.0007047117105685174,0.0011124486336484551,1.0,0.13692496716976166,0.05133207142353058,0.04026580974459648,0.0056642284616827965
ResNet50,0.019024578854441643,0.003333158791065216,0.002467211801558733,0.00219901604577899,0.04478021338582039,0.03555788844823837,0.049118779599666595,0.0006657026242464781,0.0016022612107917666,0.13692496716976166,1.0,0.09501570463180542,0.049810249358415604,0.0037302346900105476
ResNeXt50,0.011768020689487457,0.0015002776635810733,0.001083330251276493,0.0005062707350589335,0.04991738870739937,0.01294094230979681,0.020114898681640625,0.00011044470011256635,0.00046874492545612156,0.05133207142353058,0.09501570463180542,1.0,0.02630970999598503,0.003187251277267933
Swin_T,0.012098165228962898,0.003999744541943073,0.0024626138620078564,0.0021675960160791874,0.012191771529614925,0.018651166930794716,0.028153186663985252,0.0009276329074054956,0.0003338971291668713,0.04026580974459648,0.049810249358415604,0.02630970999598503,1.0,0.006629385985434055
ViT_B_32,0.02632465586066246,0.0035419894848018885,0.004908173345029354,0.00011758865730371326,0.0018131985561922193,0.0038104457780718803,0.010235767811536789,0.00012143881758674979,3.32278577843681e-05,0.0056642284616827965,0.0037302346900105476,0.003187251277267933,0.006629385985434055,1.0
