,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.01224773284047842,0.01893705315887928,1.541792880743742e-05,0.004294564016163349,0.014273909851908684,0.04437626153230667,0.00025187156279571354,8.793474989943206e-06,0.0409860759973526,0.019817758351564407,0.011832977645099163,0.013006358407437801,0.026903951540589333
DeiT_S,0.01224773284047842,1.0,0.04440733790397644,5.020238313591108e-05,0.0008150068460963666,0.001988632371649146,0.006178417708724737,8.028302545426413e-05,6.162966747069731e-05,0.005505798384547234,0.003586231265217066,0.0015599747421219945,0.004366258159279823,0.0035318697337061167
DeiT_T,0.01893705315887928,0.04440733790397644,1.0,2.8991009912715526e-06,0.0005059034447185695,0.002196822315454483,0.008371146395802498,1.602732481842395e-05,4.0628087845107075e-06,0.00566878542304039,0.0028472994454205036,0.0012503727339208126,0.0028823951724916697,0.004344849847257137
DenseNet121,1.541792880743742e-05,5.020238313591108e-05,2.8991009912715526e-06,1.0,0.002350897528231144,0.004158730152994394,0.0013174304040148854,0.001517432858236134,0.036960527300834656,0.0024973286781460047,0.0022652477491647005,0.0006011998048052192,0.002461271593347192,0.00014065162395127118
EfficientNet_B3,0.004294564016163349,0.0008150068460963666,0.0005059034447185695,0.002350897528231144,1.0,0.017841996625065804,0.0163857601583004,0.00031027497607283294,0.004473230801522732,0.04039020463824272,0.046846821904182434,0.05412008985877037,0.013275555334985256,0.0017696189461275935
EfficientNet_B4,0.014273909851908684,0.001988632371649146,0.002196822315454483,0.004158730152994394,0.017841996625065804,1.0,0.030020857229828835,0.0010205957805737853,0.001480862614698708,0.03400791808962822,0.03492178022861481,0.012188340537250042,0.020036300644278526,0.0030035898089408875
MobileNetV3,0.04437626153230667,0.006178417708724737,0.008371146395802498,0.0013174304040148854,0.0163857601583004,0.030020857229828835,1.0,0.0003122263588011265,0.0003193698648829013,0.08339541405439377,0.05285866558551788,0.021403072401881218,0.031014064326882362,0.009755551815032959
PyramidViT_V2_B2,0.00025187156279571354,8.028302545426413e-05,1.602732481842395e-05,0.001517432858236134,0.00031027497607283294,0.0010205957805737853,0.0003122263588011265,1.0,0.000687468214891851,0.000750184350181371,0.0007056103204376996,0.00011439960508141667,0.0009758097003214061,0.00013309075438883156
Res2Net50,8.793474989943206e-06,6.162966747069731e-05,4.0628087845107075e-06,0.036960527300834656,0.004473230801522732,0.001480862614698708,0.0003193698648829013,0.000687468214891851,1.0,0.0012935458216816187,0.0016168842557817698,0.0005115356761962175,0.00034757648245431483,3.746610673260875e-05
ResNet18,0.0409860759973526,0.005505798384547234,0.00566878542304039,0.0024973286781460047,0.04039020463824272,0.03400791808962822,0.08339541405439377,0.000750184350181371,0.0012935458216816187,1.0,0.15148107707500458,0.057218924164772034,0.04583503305912018,0.006300326902419329
ResNet50,0.019817758351564407,0.003586231265217066,0.0028472994454205036,0.0022652477491647005,0.046846821904182434,0.03492178022861481,0.05285866558551788,0.0007056103204376996,0.0016168842557817698,0.15148107707500458,1.0,0.1019567996263504,0.05283111706376076,0.0039360723458230495
ResNeXt50,0.011832977645099163,0.0015599747421219945,0.0012503727339208126,0.0006011998048052192,0.05412008985877037,0.012188340537250042,0.021403072401881218,0.00011439960508141667,0.0005115356761962175,0.057218924164772034,0.1019567996263504,1.0,0.027550002560019493,0.0027231043204665184
Swin_T,0.013006358407437801,0.004366258159279823,0.0028823951724916697,0.002461271593347192,0.013275555334985256,0.020036300644278526,0.031014064326882362,0.0009758097003214061,0.00034757648245431483,0.04583503305912018,0.05283111706376076,0.027550002560019493,1.0,0.0073392377234995365
ViT_B_32,0.026903951540589333,0.0035318697337061167,0.004344849847257137,0.00014065162395127118,0.0017696189461275935,0.0030035898089408875,0.009755551815032959,0.00013309075438883156,3.746610673260875e-05,0.006300326902419329,0.0039360723458230495,0.0027231043204665184,0.0073392377234995365,1.0
