,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.9999999999999996,0.009237763599653415,0.003114085520750625,0.024882381306421383,-0.00016167435168280755,0.025867207219779358,0.027928105862050814,0.022411543597792537,0.012406083715567383,0.01591770883297633,0.0077207956138773785,0.016541216743581846,0.049559698311693004,0.00222635316496746
DeiT_S,0.009237763599653415,0.9999999999999996,0.02386727670749513,0.0065765044009755864,0.009186649741704904,0.007520924581701116,-0.00017659540322680122,0.002077353328603644,0.0052818597795237085,0.0038069555098471904,0.007109064579703233,8.186509239864774e-05,0.008383243035967549,0.00835883651440185
DeiT_T,0.003114085520750625,0.02386727670749513,1.0000000000000009,0.009410536732059369,0.009429320104859574,-0.0005395532280699955,0.013832719166089183,-0.003859911953669257,0.004083087004712058,0.005517726752157849,0.01162785657684697,0.0030964880699947744,-0.0058597084870611795,0.010717342862036199
DenseNet121,0.024882381306421383,0.0065765044009755864,0.009410536732059369,1.0000000000000002,0.0034834988390258924,0.0013875660011435475,0.014337384155852046,0.002196552903433351,0.036246961546827355,0.036607595163348036,0.0061980902303593955,0.03831280999401329,0.004677457456419562,0.006444928351465708
EfficientNet_B3,-0.00016167435168280755,0.009186649741704904,0.009429320104859574,0.0034834988390258924,0.9999999999999987,0.057336475174445636,0.03153540350677339,0.03579874893156999,-0.002396339595411549,-0.002646668881553154,0.002824028174887118,0.014437221530426696,0.012280516626747198,0.00943723877289198
EfficientNet_B4,0.025867207219779358,0.007520924581701116,-0.0005395532280699955,0.0013875660011435475,0.057336475174445636,0.9999999999999986,0.036595107393803436,0.013272462320755223,0.009591295165116184,0.017161356937234574,0.0182910646760145,0.008444422800563053,0.017348602815502524,0.010375425417470226
MobileNetV3,0.027928105862050814,-0.00017659540322680122,0.013832719166089183,0.014337384155852046,0.03153540350677339,0.036595107393803436,1.0,-0.003830121404943489,0.026201350113574568,0.026921139237654552,0.030989226373797394,0.040273595343123664,0.009242651370792967,0.006044782965849775
PyramidViT_V2_B2,0.022411543597792537,0.002077353328603644,-0.003859911953669257,0.002196552903433351,0.03579874893156999,0.013272462320755223,-0.003830121404943489,1.0000000000000013,0.007710480624663703,-0.0007332251086472623,0.021900198396366567,0.015044930677629438,0.044478512332974014,0.007744776618093365
Res2Net50,0.012406083715567383,0.0052818597795237085,0.004083087004712058,0.036246961546827355,-0.002396339595411549,0.009591295165116184,0.026201350113574568,0.007710480624663703,1.0000000000000009,0.008323223571142856,0.027197151420138257,0.01567680907351723,0.008468993954780946,0.0011619845551878384
ResNet18,0.01591770883297633,0.0038069555098471904,0.005517726752157849,0.036607595163348036,-0.002646668881553154,0.017161356937234574,0.026921139237654552,-0.0007332251086472623,0.008323223571142856,0.999999999999999,0.00456564147662669,0.017484511431792988,0.003282519845786094,0.006791480397018586
ResNet50,0.0077207956138773785,0.007109064579703233,0.01162785657684697,0.0061980902303593955,0.002824028174887118,0.0182910646760145,0.030989226373797394,0.021900198396366567,0.027197151420138257,0.00456564147662669,1.0000000000000002,0.034536244156927104,0.016615540825016713,0.0029122563784389796
ResNeXt50,0.016541216743581846,8.186509239864774e-05,0.0030964880699947744,0.03831280999401329,0.014437221530426696,0.008444422800563053,0.040273595343123664,0.015044930677629438,0.01567680907351723,0.017484511431792988,0.034536244156927104,0.9999999999999996,0.00771535042432837,0.002369368145229497
Swin_T,0.049559698311693004,0.008383243035967549,-0.0058597084870611795,0.004677457456419562,0.012280516626747198,0.017348602815502524,0.009242651370792967,0.044478512332974014,0.008468993954780946,0.003282519845786094,0.016615540825016713,0.00771535042432837,0.9999999999999996,0.0031459776693899565
ViT_B_32,0.00222635316496746,0.00835883651440185,0.010717342862036199,0.006444928351465708,0.00943723877289198,0.010375425417470226,0.006044782965849775,0.007744776618093365,0.0011619845551878384,0.006791480397018586,0.0029122563784389796,0.002369368145229497,0.0031459776693899565,1.0000000000000009
