,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.9999999999999996,0.009237763599653415,0.006177162449030524,0.0326088389415067,0.009446119034328581,0.03560048053371363,0.031486458546066305,0.023845351392593202,0.014057451333055878,0.019277928115071098,0.004070970558169786,0.016541216743581846,0.049559698311693004,0.004103344068196363
DeiT_S,0.009237763599653415,0.9999999999999996,0.0298376353871419,0.007786252841068513,0.008696981101891082,0.01004555411387792,0.0011299080335359496,0.0026421099385563187,0.006838808065594028,0.00667353074228375,0.007647780840670823,8.186509239864774e-05,0.008383243035967549,0.009072148780835067
DeiT_T,0.006177162449030524,0.0298376353871419,1.0000000000000009,0.010886783054085272,0.011137125619186011,0.0010608012514224374,0.01633441669166297,-0.00139121185409788,0.007636267373272208,0.007164147621115404,0.011182911878665562,0.007743481445582329,-0.008972819921095544,0.013871073886632538
DenseNet121,0.0326088389415067,0.007786252841068513,0.010886783054085272,1.0000000000000002,0.005745531275801147,-0.0033696268216257615,0.03331912030845245,0.006354554725559969,0.04981474555200057,0.03643359473839697,0.017840317319921705,0.04072606222484673,0.006949599040058894,0.006301971715950809
EfficientNet_B3,0.009446119034328581,0.008696981101891082,0.011137125619186011,0.005745531275801147,0.9999999999999987,0.05777417124186857,0.04393837970604495,0.035484398659845866,0.0054573425101754084,-0.0052448121722616856,0.009268321417904167,0.025486147854110148,0.017015473617064115,0.010298162235994062
EfficientNet_B4,0.03560048053371363,0.01004555411387792,0.0010608012514224374,-0.0033696268216257615,0.05777417124186857,0.9999999999999986,0.046094889439623234,0.017519934069289117,0.009380427501223578,0.0188753408454101,0.023138437883332964,0.012794112893719055,0.02123532802969833,0.011082133362534316
MobileNetV3,0.031486458546066305,0.0011299080335359496,0.01633441669166297,0.03331912030845245,0.04393837970604495,0.046094889439623234,1.0,-0.0011024488925715978,0.029415107673519937,0.04034003360903593,0.030989226373797394,0.042210170518898485,0.011701639817541905,0.006044782965849775
PyramidViT_V2_B2,0.023845351392593202,0.0026421099385563187,-0.00139121185409788,0.006354554725559969,0.035484398659845866,0.017519934069289117,-0.0011024488925715978,1.0000000000000013,0.0060382883345708105,0.003584142046324156,0.021246512592846798,0.013158066494795395,0.04852911308125738,0.009362004191110964
Res2Net50,0.014057451333055878,0.006838808065594028,0.007636267373272208,0.04981474555200057,0.0054573425101754084,0.009380427501223578,0.029415107673519937,0.0060382883345708105,1.0000000000000009,0.016214614764242973,0.028382076812971495,0.01667421036376787,0.009166569216434103,0.0010374878668899276
ResNet18,0.019277928115071098,0.00667353074228375,0.007164147621115404,0.03643359473839697,-0.0052448121722616856,0.0188753408454101,0.04034003360903593,0.003584142046324156,0.016214614764242973,0.999999999999999,0.012371969145741268,0.026549351826774203,0.0017879843182021038,0.00853147387351262
ResNet50,0.004070970558169786,0.007647780840670823,0.011182911878665562,0.017840317319921705,0.009268321417904167,0.023138437883332964,0.030989226373797394,0.021246512592846798,0.028382076812971495,0.012371969145741268,1.0000000000000002,0.04256488958403546,0.019728275798180945,0.0029122563784389796
ResNeXt50,0.016541216743581846,8.186509239864774e-05,0.007743481445582329,0.04072606222484673,0.025486147854110148,0.012794112893719055,0.042210170518898485,0.013158066494795395,0.01667421036376787,0.026549351826774203,0.04256488958403546,0.9999999999999996,0.00771535042432837,0.003596924708012768
Swin_T,0.049559698311693004,0.008383243035967549,-0.008972819921095544,0.006949599040058894,0.017015473617064115,0.02123532802969833,0.011701639817541905,0.04852911308125738,0.009166569216434103,0.0017879843182021038,0.019728275798180945,0.00771535042432837,0.9999999999999996,0.003706660361174068
ViT_B_32,0.004103344068196363,0.009072148780835067,0.013871073886632538,0.006301971715950809,0.010298162235994062,0.011082133362534316,0.006044782965849775,0.009362004191110964,0.0010374878668899276,0.00853147387351262,0.0029122563784389796,0.003596924708012768,0.003706660361174068,1.0000000000000009
