,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,1.907984104854032e-05,1.1873342132358077e-05,1.4782924260840863e-05,1.1911217873474995e-05,5.320557725392356e-06,1.9095838126515302e-05,4.80557436002116e-06,8.294961858115932e-06,1.286233381610604e-05,5.135178891865059e-06,3.4697615481973984e-05,6.506971081664553e-05,9.050242093703205e-07
DeiT_S,1.907984104854032e-05,1.0,9.610855079350783e-05,1.0362074800952607e-05,1.3692093501409594e-05,1.5102599255483832e-05,1.2702322757907318e-05,9.602361716742734e-06,1.183528412042344e-05,1.4250757147256212e-05,1.4026852128554797e-05,2.6784541894460897e-05,0.00015263723213236504,2.476842346799088e-05
DeiT_T,1.1873342132358077e-05,9.610855079350783e-05,1.0,7.201521250152398e-06,1.2268129282109413e-05,4.320483317079274e-06,8.374012544871754e-06,1.1430651010211079e-05,9.639140356720336e-06,7.424843480300244e-06,6.6767949284371406e-06,1.2499919864269867e-05,4.544529873482412e-05,7.011022092363884e-06
DenseNet121,1.4782924260840863e-05,1.0362074800952607e-05,7.201521250152398e-06,1.0,3.458443309153278e-06,1.275265749779817e-06,6.5410533381300685e-06,4.6345540369590236e-07,5.548675388906503e-06,1.1532132544622002e-05,2.6435089953129125e-06,1.2299617885201797e-05,1.4966082410317952e-05,3.0980953862635795e-07
EfficientNet_B3,1.1911217873474995e-05,1.3692093501409594e-05,1.2268129282109413e-05,3.458443309153278e-06,1.0,1.0313644655329756e-05,1.1624730115964441e-05,8.83514792813252e-06,5.928116602240221e-06,3.3550646804553455e-06,4.43640982613686e-06,1.6388607888623115e-05,1.862966605953229e-05,2.3551064498176444e-06
EfficientNet_B4,5.320557725392356e-06,1.5102599255483832e-05,4.320483317079274e-06,1.275265749779817e-06,1.0313644655329756e-05,1.0,3.331499128951454e-06,2.122496741904385e-06,3.0161576846959725e-06,3.451592888502786e-06,3.3201233896159596e-06,5.722096088212354e-06,1.1027231326512217e-05,9.21646230711917e-07
MobileNetV3,1.9095838126515302e-05,1.2702322757907318e-05,8.374012544871754e-06,6.5410533381300685e-06,1.1624730115964441e-05,3.331499128951454e-06,1.0,1.2126282631514005e-06,6.886364947957304e-06,8.477236245533538e-06,7.319071534926447e-06,2.2974635846111627e-05,1.8975224186937552e-05,7.440363814854303e-07
PyramidViT_V2_B2,4.80557436002116e-06,9.602361716742734e-06,1.1430651010211079e-05,4.6345540369590236e-07,8.83514792813252e-06,2.122496741904385e-06,1.2126282631514005e-06,1.0,1.1498712992225253e-06,5.968826016809925e-07,1.6106273111630762e-06,3.3946512422883984e-06,1.3153316579086643e-05,1.6505499934211165e-06
Res2Net50,8.294961858115932e-06,1.183528412042344e-05,9.639140356720336e-06,5.548675388906503e-06,5.928116602240221e-06,3.0161576846959725e-06,6.886364947957304e-06,1.1498712992225253e-06,1.0,5.182710357134215e-06,1.0080083686900171e-05,1.0078323111477596e-05,2.0183910109916087e-05,3.886741154275605e-07
ResNet18,1.286233381610604e-05,1.4250757147256212e-05,7.424843480300244e-06,1.1532132544622002e-05,3.3550646804553455e-06,3.451592888502786e-06,8.477236245533538e-06,5.968826016809925e-07,5.182710357134215e-06,1.0,3.135849515239384e-06,1.045953596741621e-05,1.7138204167281315e-05,4.703648164498731e-07
ResNet50,5.135178891865059e-06,1.4026852128554797e-05,6.6767949284371406e-06,2.6435089953129125e-06,4.43640982613686e-06,3.3201233896159596e-06,7.319071534926447e-06,1.6106273111630762e-06,1.0080083686900171e-05,3.135849515239384e-06,1.0,1.714950563246093e-05,1.6764742129906062e-05,7.17118526242603e-07
ResNeXt50,3.4697615481973984e-05,2.6784541894460897e-05,1.2499919864269867e-05,1.2299617885201797e-05,1.6388607888623115e-05,5.722096088212354e-06,2.2974635846111627e-05,3.3946512422883984e-06,1.0078323111477596e-05,1.045953596741621e-05,1.714950563246093e-05,1.0,2.6084829909879398e-05,1.7055871811044368e-06
Swin_T,6.506971081664553e-05,0.00015263723213236504,4.544529873482412e-05,1.4966082410317952e-05,1.862966605953229e-05,1.1027231326512217e-05,1.8975224186937552e-05,1.3153316579086643e-05,2.0183910109916087e-05,1.7138204167281315e-05,1.6764742129906062e-05,2.6084829909879398e-05,1.0,5.889409173694958e-06
ViT_B_32,9.050242093703205e-07,2.476842346799088e-05,7.011022092363884e-06,3.0980953862635795e-07,2.3551064498176444e-06,9.21646230711917e-07,7.440363814854303e-07,1.6505499934211165e-06,3.886741154275605e-07,4.703648164498731e-07,7.17118526242603e-07,1.7055871811044368e-06,5.889409173694958e-06,1.0
