,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,1.907984104854032e-05,1.580088443935035e-05,1.9708462664586335e-05,1.3533085566437496e-05,6.078597136526876e-06,2.1821641803966807e-05,5.464293191995375e-06,9.475786236397002e-06,1.7147373040310207e-05,5.866011222450081e-06,3.4697615481973984e-05,6.506971081664553e-05,1.0338379525292725e-06
DeiT_S,1.907984104854032e-05,1.0,0.00011837844635339233,1.3760148161436945e-05,1.4585911414856379e-05,1.724302716329726e-05,1.4508587930337804e-05,1.0868824985552046e-05,1.3508272796009865e-05,1.8981012416411503e-05,1.60231823273424e-05,2.6784541894460897e-05,0.00015263723213236504,2.830384029373116e-05
DeiT_T,1.580088443935035e-05,0.00011837844635339233,1.0,8.226600797475118e-06,1.5554987790408697e-05,5.673380793466229e-06,1.115026535352009e-05,1.4841703130228455e-05,1.2828623151547947e-05,8.482260349524089e-06,8.791258157655817e-06,1.650123457474244e-05,6.0541712628825527e-05,4.054953816167323e-06
DenseNet121,1.9708462664586335e-05,1.3760148161436945e-05,8.226600797475118e-06,1.0,4.57813546469374e-06,1.6987798319148072e-06,8.721257809199014e-06,6.132396181926668e-07,7.39738760507597e-06,1.5375385985427923e-05,3.5242953418382456e-06,1.6395809096761267e-05,1.9953213527004055e-05,3.8627750477915124e-07
EfficientNet_B3,1.3533085566437496e-05,1.4585911414856379e-05,1.5554987790408697e-05,4.57813546469374e-06,1.0,1.1603857966939121e-05,1.3266374319934293e-05,9.34647203938622e-06,6.737006841198778e-06,4.413786145421336e-06,5.053575310326452e-06,1.866203325370177e-05,2.116831590974765e-05,2.6789499561362396e-06
EfficientNet_B4,6.078597136526876e-06,1.724302716329726e-05,5.673380793466229e-06,1.6987798319148072e-06,1.1603857966939121e-05,1.0,3.8069037672400345e-06,2.4178869029877165e-06,3.444790725328524e-06,4.600925476063377e-06,3.7939279016357716e-06,6.5372032183555864e-06,1.2599565373956393e-05,1.0530180485583666e-06
MobileNetV3,2.1821641803966807e-05,1.4508587930337804e-05,1.115026535352009e-05,8.721257809199014e-06,1.3266374319934293e-05,3.8069037672400345e-06,1.0,1.3824948780515436e-06,7.869175073285669e-06,1.1302692847102406e-05,7.319071534926447e-06,2.625401475380244e-05,2.1684481492155497e-05,7.440363814854303e-07
PyramidViT_V2_B2,5.464293191995375e-06,1.0868824985552046e-05,1.4841703130228455e-05,6.132396181926668e-07,9.34647203938622e-06,2.4178869029877165e-06,1.3824948780515436e-06,1.0,1.3004960271459857e-06,7.913409940818443e-07,1.834974617062583e-06,3.850598641216066e-06,1.5007652232244082e-05,1.8850169834082917e-06
Res2Net50,9.475786236397002e-06,1.3508272796009865e-05,1.2828623151547947e-05,7.39738760507597e-06,6.737006841198778e-06,3.444790725328524e-06,7.869175073285669e-06,1.3004960271459857e-06,1.0,6.909365747304938e-06,1.151915866962318e-05,1.1514206741055463e-05,2.3063666403616056e-05,4.4393470282119806e-07
ResNet18,1.7147373040310207e-05,1.8981012416411503e-05,8.482260349524089e-06,1.5375385985427923e-05,4.413786145421336e-06,4.600925476063377e-06,1.1302692847102406e-05,7.913409940818443e-07,6.909365747304938e-06,1.0,4.18042333015726e-06,1.394486540537853e-05,2.2848763540820724e-05,6.21504791872833e-07
ResNet50,5.866011222450081e-06,1.60231823273424e-05,8.791258157655817e-06,3.5242953418382456e-06,5.053575310326452e-06,3.7939279016357716e-06,7.319071534926447e-06,1.834974617062583e-06,1.151915866962318e-05,4.18042333015726e-06,1.0,1.959861877729522e-05,1.9158561349506312e-05,7.17118526242603e-07
ResNeXt50,3.4697615481973984e-05,2.6784541894460897e-05,1.650123457474244e-05,1.6395809096761267e-05,1.866203325370177e-05,6.5372032183555864e-06,2.625401475380244e-05,3.850598641216066e-06,1.1514206741055463e-05,1.394486540537853e-05,1.959861877729522e-05,1.0,2.6084829909879398e-05,1.9488220364843845e-06
Swin_T,6.506971081664553e-05,0.00015263723213236504,6.0541712628825527e-05,1.9953213527004055e-05,2.116831590974765e-05,1.2599565373956393e-05,2.1684481492155497e-05,1.5007652232244082e-05,2.3063666403616056e-05,2.2848763540820724e-05,1.9158561349506312e-05,2.6084829909879398e-05,1.0,6.730270885331118e-06
ViT_B_32,1.0338379525292725e-06,2.830384029373116e-05,4.054953816167323e-06,3.8627750477915124e-07,2.6789499561362396e-06,1.0530180485583666e-06,7.440363814854303e-07,1.8850169834082917e-06,4.4393470282119806e-07,6.21504791872833e-07,7.17118526242603e-07,1.9488220364843845e-06,6.730270885331118e-06,1.0
