,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.9999978542327881,0.9001469016075134,0.8614233136177063,0.8554512858390808,0.8692767024040222,0.8785290718078613,0.8842824101448059,0.8878949880599976,0.8634767532348633,0.8985154628753662,0.9173007011413574,0.8744650483131409,0.8972821831703186,0.8486010432243347
DeiT_S,0.9001469016075134,1.000008463859558,0.8934586644172668,0.894214928150177,0.8914850950241089,0.9079878926277161,0.9002291560173035,0.9109441637992859,0.8952072262763977,0.9068973660469055,0.9308379292488098,0.8900749683380127,0.8919323086738586,0.8900209069252014
DeiT_T,0.8614233136177063,0.8934586644172668,1.0000052452087402,0.8982955813407898,0.8787353038787842,0.8540821075439453,0.8915746808052063,0.8868808150291443,0.861551821231842,0.891554057598114,0.9066264033317566,0.905392587184906,0.8607933521270752,0.8571362495422363
DenseNet121,0.8554512858390808,0.894214928150177,0.8982955813407898,0.9999983906745911,0.8813002109527588,0.8709223866462708,0.9001603126525879,0.861436128616333,0.9121628403663635,0.8988611102104187,0.8914794921875,0.8844747543334961,0.7961763739585876,0.8340306282043457
EfficientNet_B3,0.8692767024040222,0.8914850950241089,0.8787353038787842,0.8813002109527588,1.0000019073486328,0.8887695074081421,0.8683304190635681,0.8976523280143738,0.9034126400947571,0.8866317272186279,0.887583315372467,0.8770171403884888,0.8600870370864868,0.8660240769386292
EfficientNet_B4,0.8785290718078613,0.9079878926277161,0.8540821075439453,0.8709223866462708,0.8887695074081421,0.9999955892562866,0.8700036406517029,0.8792515397071838,0.8911861777305603,0.8796507716178894,0.9035460352897644,0.8732045888900757,0.8508430123329163,0.8768334984779358
MobileNetV3,0.8842824101448059,0.9002291560173035,0.8915746808052063,0.9001603126525879,0.8683304190635681,0.8700036406517029,1.000011682510376,0.8814358711242676,0.8855435252189636,0.8994678854942322,0.9161297082901001,0.8907223343849182,0.846506655216217,0.8652178049087524
PyramidViT_V2_B2,0.8878949880599976,0.9109441637992859,0.8868808150291443,0.861436128616333,0.8976523280143738,0.8792515397071838,0.8814358711242676,1.000001072883606,0.8942973017692566,0.9032955765724182,0.9136301875114441,0.8871086239814758,0.8707275390625,0.8756207823753357
Res2Net50,0.8634767532348633,0.8952072262763977,0.861551821231842,0.9121628403663635,0.9034126400947571,0.8911861777305603,0.8855435252189636,0.8942973017692566,1.0000008344650269,0.9149702191352844,0.8827936053276062,0.8708392977714539,0.8293582797050476,0.8767472505569458
ResNet18,0.8985154628753662,0.9068973660469055,0.891554057598114,0.8988611102104187,0.8866317272186279,0.8796507716178894,0.8994678854942322,0.9032955765724182,0.9149702191352844,0.9999924898147583,0.9130573868751526,0.8969332575798035,0.8591002821922302,0.875460684299469
ResNet50,0.9173007011413574,0.9308379292488098,0.9066264033317566,0.8914794921875,0.887583315372467,0.9035460352897644,0.9161297082901001,0.9136301875114441,0.8827936053276062,0.9130573868751526,1.000004529953003,0.911884605884552,0.8995763063430786,0.9005602598190308
ResNeXt50,0.8744650483131409,0.8900749683380127,0.905392587184906,0.8844747543334961,0.8770171403884888,0.8732045888900757,0.8907223343849182,0.8871086239814758,0.8708392977714539,0.8969332575798035,0.911884605884552,0.9999942779541016,0.8714176416397095,0.8599976897239685
Swin_T,0.8972821831703186,0.8919323086738586,0.8607933521270752,0.7961763739585876,0.8600870370864868,0.8508430123329163,0.846506655216217,0.8707275390625,0.8293582797050476,0.8591002821922302,0.8995763063430786,0.8714176416397095,1.0000097751617432,0.8615731596946716
ViT_B_32,0.8486010432243347,0.8900209069252014,0.8571362495422363,0.8340306282043457,0.8660240769386292,0.8768334984779358,0.8652178049087524,0.8756207823753357,0.8767472505569458,0.875460684299469,0.9005602598190308,0.8599976897239685,0.8615731596946716,1.0000182390213013
