,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.003605798352509737,0.0009152725688181818,1.7365604207952856e-06,0.0004263132286723703,0.0008014253107830882,0.0029526876751333475,1.2459122444852255e-05,5.504114142240724e-06,2.8459478926379234e-05,0.010308628901839256,0.000209099700441584,0.0032985659781843424,8.81763844517991e-05
DeiT_S,0.003605798352509737,1.0,0.023454854264855385,0.016745133325457573,0.021322116255760193,0.02239660918712616,0.010128826834261417,0.005847088992595673,0.005194562487304211,0.02008751966059208,0.06066102162003517,0.024012627080082893,0.004915705416351557,0.004096100106835365
DeiT_T,0.0009152725688181818,0.023454854264855385,1.0,0.007189794443547726,0.012475121766328812,0.004685239400714636,0.026149190962314606,0.0003193201555404812,0.0004206396406516433,0.0123898321762681,0.00977223552763462,0.03359417989850044,0.000740104413125664,0.00011030419409507886
DenseNet121,1.7365604207952856e-06,0.016745133325457573,0.007189794443547726,1.0,0.04302354156970978,0.02809167467057705,0.003897148882970214,0.003876389702782035,0.05697876587510109,0.05780884623527527,0.0017722146585583687,0.0037566807586699724,2.0392270016600378e-05,4.017474202555604e-05
EfficientNet_B3,0.0004263132286723703,0.021322116255760193,0.012475121766328812,0.04302354156970978,1.0,0.07292735576629639,0.009714487008750439,0.0197288878262043,0.037340909242630005,0.08166887611150742,0.0036447923630476,0.012843121774494648,0.0004800425376743078,0.023042334243655205
EfficientNet_B4,0.0008014253107830882,0.02239660918712616,0.004685239400714636,0.02809167467057705,0.07292735576629639,1.0,0.019554078578948975,0.02290249988436699,0.025399794802069664,0.024884020909667015,0.010851609520614147,0.0032718998845666647,7.993278268259019e-05,0.04594777897000313
MobileNetV3,0.0029526876751333475,0.010128826834261417,0.026149190962314606,0.003897148882970214,0.009714487008750439,0.019554078578948975,1.0,0.017581326887011528,0.0021699892822653055,0.0016859137685969472,0.015027600340545177,0.00547612551599741,0.001356828841380775,0.005717872641980648
PyramidViT_V2_B2,1.2459122444852255e-05,0.005847088992595673,0.0003193201555404812,0.003876389702782035,0.0197288878262043,0.02290249988436699,0.017581326887011528,1.0,0.07367974519729614,0.009762969799339771,0.0018974905833601952,0.001060247770510614,3.65886626241263e-05,0.04308362677693367
Res2Net50,5.504114142240724e-06,0.005194562487304211,0.0004206396406516433,0.05697876587510109,0.037340909242630005,0.025399794802069664,0.0021699892822653055,0.07367974519729614,1.0,0.07204493135213852,0.0002882084809243679,0.002757865469902754,0.0008331877179443836,0.03059018962085247
ResNet18,2.8459478926379234e-05,0.02008751966059208,0.0123898321762681,0.05780884623527527,0.08166887611150742,0.024884020909667015,0.0016859137685969472,0.009762969799339771,0.07204493135213852,1.0,0.002581678330898285,0.024507572874426842,0.0021516543347388506,0.00019095382594969124
ResNet50,0.010308628901839256,0.06066102162003517,0.00977223552763462,0.0017722146585583687,0.0036447923630476,0.010851609520614147,0.015027600340545177,0.0018974905833601952,0.0002882084809243679,0.002581678330898285,1.0,0.013839120976626873,0.015295571647584438,0.0014353853184729815
ResNeXt50,0.000209099700441584,0.024012627080082893,0.03359417989850044,0.0037566807586699724,0.012843121774494648,0.0032718998845666647,0.00547612551599741,0.001060247770510614,0.002757865469902754,0.024507572874426842,0.013839120976626873,1.0,0.009851202368736267,0.00040798867121338844
Swin_T,0.0032985659781843424,0.004915705416351557,0.000740104413125664,2.0392270016600378e-05,0.0004800425376743078,7.993278268259019e-05,0.001356828841380775,3.65886626241263e-05,0.0008331877179443836,0.0021516543347388506,0.015295571647584438,0.009851202368736267,1.0,0.0010775309056043625
ViT_B_32,8.81763844517991e-05,0.004096100106835365,0.00011030419409507886,4.017474202555604e-05,0.023042334243655205,0.04594777897000313,0.005717872641980648,0.04308362677693367,0.03059018962085247,0.00019095382594969124,0.0014353853184729815,0.00040798867121338844,0.0010775309056043625,1.0
