,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.9999978542327881,0.9001469016075134,0.8331537246704102,0.849596381187439,0.860802948474884,0.8846837282180786,0.8557586073875427,0.8640040755271912,0.8690764904022217,0.8744942545890808,0.8988199234008789,0.8744650483131409,0.8972821831703186,0.8469032049179077
DeiT_S,0.9001469016075134,1.000008463859558,0.8437548279762268,0.8604755401611328,0.8885242342948914,0.905837893486023,0.8794737458229065,0.8932632803916931,0.8956671357154846,0.866043210029602,0.9181970953941345,0.8900749683380127,0.8919323086738586,0.887509822845459
DeiT_T,0.8331537246704102,0.8437548279762268,1.0000052452087402,0.8976754546165466,0.8282999992370605,0.803611159324646,0.8202242851257324,0.8042687773704529,0.7810301780700684,0.8756343126296997,0.8592652082443237,0.8504414558410645,0.8273540735244751,0.7973648309707642
DenseNet121,0.849596381187439,0.8604755401611328,0.8976754546165466,0.9999983906745911,0.848505973815918,0.8360897898674011,0.8547883629798889,0.7998107075691223,0.8403615355491638,0.8900437951087952,0.8654749989509583,0.8489139080047607,0.8006714582443237,0.7947601675987244
EfficientNet_B3,0.860802948474884,0.8885242342948914,0.8282999992370605,0.848505973815918,1.0000019073486328,0.8807957768440247,0.8752819895744324,0.9016208648681641,0.9055941104888916,0.8386438488960266,0.8971408009529114,0.8645929098129272,0.8576245307922363,0.8724890351295471
EfficientNet_B4,0.8846837282180786,0.905837893486023,0.803611159324646,0.8360897898674011,0.8807957768440247,0.9999955892562866,0.8467408418655396,0.8539153337478638,0.8896002769470215,0.8463989496231079,0.8919522762298584,0.8751227855682373,0.865108072757721,0.8718223571777344
MobileNetV3,0.8557586073875427,0.8794737458229065,0.8202242851257324,0.8547883629798889,0.8752819895744324,0.8467408418655396,1.000011682510376,0.8924838304519653,0.8818024396896362,0.8510267734527588,0.9161297082901001,0.8616981506347656,0.8247723579406738,0.8652178049087524
PyramidViT_V2_B2,0.8640040755271912,0.8932632803916931,0.8042687773704529,0.7998107075691223,0.9016208648681641,0.8539153337478638,0.8924838304519653,1.000001072883606,0.8916717767715454,0.8167544603347778,0.9195441007614136,0.8603255152702332,0.8488601446151733,0.8733000159263611
Res2Net50,0.8690764904022217,0.8956671357154846,0.7810301780700684,0.8403615355491638,0.9055941104888916,0.8896002769470215,0.8818024396896362,0.8916717767715454,1.0000008344650269,0.8331847190856934,0.8861066102981567,0.8632975816726685,0.8374847769737244,0.880501389503479
ResNet18,0.8744942545890808,0.866043210029602,0.8756343126296997,0.8900437951087952,0.8386438488960266,0.8463989496231079,0.8510267734527588,0.8167544603347778,0.8331847190856934,0.9999924898147583,0.8729411363601685,0.8534866571426392,0.8476305603981018,0.823279619216919
ResNet50,0.8988199234008789,0.9181970953941345,0.8592652082443237,0.8654749989509583,0.8971408009529114,0.8919522762298584,0.9161297082901001,0.9195441007614136,0.8861066102981567,0.8729411363601685,1.000004529953003,0.89400315284729,0.8868216276168823,0.9005602598190308
ResNeXt50,0.8744650483131409,0.8900749683380127,0.8504414558410645,0.8489139080047607,0.8645929098129272,0.8751227855682373,0.8616981506347656,0.8603255152702332,0.8632975816726685,0.8534866571426392,0.89400315284729,0.9999942779541016,0.8714176416397095,0.85267174243927
Swin_T,0.8972821831703186,0.8919323086738586,0.8273540735244751,0.8006714582443237,0.8576245307922363,0.865108072757721,0.8247723579406738,0.8488601446151733,0.8374847769737244,0.8476305603981018,0.8868216276168823,0.8714176416397095,1.0000097751617432,0.8610529899597168
ViT_B_32,0.8469032049179077,0.887509822845459,0.7973648309707642,0.7947601675987244,0.8724890351295471,0.8718223571777344,0.8652178049087524,0.8733000159263611,0.880501389503479,0.823279619216919,0.9005602598190308,0.85267174243927,0.8610529899597168,1.0000182390213013
