,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.003605798352509737,0.0007481271168217063,1.6010058971005492e-05,0.00037302638520486653,0.0017326638335362077,0.002583601512014866,1.0901833775278646e-05,0.0001069680365617387,5.492707350640558e-05,0.00902005285024643,0.000209099700441584,0.0032985659781843424,8.286723459605128e-05
DeiT_S,0.003605798352509737,1.0,0.017834236845374107,0.020500633865594864,0.018656853586435318,0.02068496309220791,0.00886272918432951,0.005116220563650131,0.004546227399259806,0.015107311308383942,0.05307840555906296,0.024012627080082893,0.004915705416351557,0.003660875139757991
DeiT_T,0.0007481271168217063,0.017834236845374107,1.0,0.006503859534859657,0.009358500130474567,0.003823175560683012,0.019612545147538185,0.0002404904371360317,0.00033195482683368027,0.010841235518455505,0.007335511967539787,0.02523658238351345,0.0005550783826038241,0.00032629887573421
DenseNet121,1.6010058971005492e-05,0.020500633865594864,0.006503859534859657,1.0,0.032286908477544785,0.02180214412510395,0.0029247880447655916,0.002907682443037629,0.04273524135351181,0.07769154012203217,0.0013292146613821387,0.0028460160829126835,1.5294219338102266e-05,9.486096678301692e-05
EfficientNet_B3,0.00037302638520486653,0.018656853586435318,0.009358500130474567,0.032286908477544785,1.0,0.06381145119667053,0.008563999086618423,0.01737039163708687,0.03273608908057213,0.06126262992620468,0.006627948023378849,0.011237731203436852,0.00042003722046501935,0.020172573626041412
EfficientNet_B4,0.0017326638335362077,0.02068496309220791,0.003823175560683012,0.02180214412510395,0.06381145119667053,1.0,0.017109818756580353,0.02003968507051468,0.022230125963687897,0.019160615280270576,0.009495196864008904,0.003331061452627182,6.994119030423462e-05,0.04023388773202896
MobileNetV3,0.002583601512014866,0.00886272918432951,0.019612545147538185,0.0029247880447655916,0.008563999086618423,0.017109818756580353,1.0,0.029363511130213737,0.0019005261128768325,0.0012679690262302756,0.015027600340545177,0.004791609942913055,0.001187225105240941,0.005717872641980648
PyramidViT_V2_B2,1.0901833775278646e-05,0.005116220563650131,0.0002404904371360317,0.002907682443037629,0.01737039163708687,0.02003968507051468,0.029363511130213737,1.0,0.06447631865739822,0.007322375662624836,0.006138820666819811,0.0009277169010601938,3.2015075703384355e-05,0.037705764174461365
Res2Net50,0.0001069680365617387,0.004546227399259806,0.00033195482683368027,0.04273524135351181,0.03273608908057213,0.022230125963687897,0.0019005261128768325,0.06447631865739822,1.0,0.054035693407058716,0.0003160510677844286,0.0024132460821419954,0.0007290394278243184,0.026836752891540527
ResNet18,5.492707350640558e-05,0.015107311308383942,0.010841235518455505,0.07769154012203217,0.06126262992620468,0.019160615280270576,0.0012679690262302756,0.007322375662624836,0.054035693407058716,1.0,0.0019371014786884189,0.01846030168235302,0.001613740692846477,0.00018700628424994648
ResNet50,0.00902005285024643,0.05307840555906296,0.007335511967539787,0.0013292146613821387,0.006627948023378849,0.009495196864008904,0.015027600340545177,0.006138820666819811,0.0003160510677844286,0.0019371014786884189,1.0,0.012109235860407352,0.013383624143898487,0.0014353853184729815
ResNeXt50,0.000209099700441584,0.024012627080082893,0.02523658238351345,0.0028460160829126835,0.011237731203436852,0.003331061452627182,0.004791609942913055,0.0009277169010601938,0.0024132460821419954,0.01846030168235302,0.012109235860407352,1.0,0.009851202368736267,0.00035970364115200937
Swin_T,0.0032985659781843424,0.004915705416351557,0.0005550783826038241,1.5294219338102266e-05,0.00042003722046501935,6.994119030423462e-05,0.001187225105240941,3.2015075703384355e-05,0.0007290394278243184,0.001613740692846477,0.013383624143898487,0.009851202368736267,1.0,0.0009428395424038172
ViT_B_32,8.286723459605128e-05,0.003660875139757991,0.00032629887573421,9.486096678301692e-05,0.020172573626041412,0.04023388773202896,0.005717872641980648,0.037705764174461365,0.026836752891540527,0.00018700628424994648,0.0014353853184729815,0.00035970364115200937,0.0009428395424038172,1.0
