,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.6797490391289666e-06,0.42859537542853193,0.4419259979588782,0.3399433172945744,0.376350298016079,0.37133329754068917,0.3109310391455667,0.4075459854024581,0.37542850504065245,0.31204366641052145,0.33761722093111773,0.41983621247866154,0.3590334595179066,0.5679651962343937
DeiT_S,0.42859537542853193,9.67681621492578e-07,0.391628181480175,0.340274054452251,0.375258689410097,0.34724009003928585,0.3365519316071569,0.3794790323573331,0.35854211894105054,0.3459754817152515,0.3477771808700995,0.43088329136821124,0.34529648467979573,0.5675096053985406
DeiT_T,0.4419259979588782,0.391628181480175,0.04423730704882119,0.35248905273660225,0.3888624611920373,0.35214601991739336,0.33826783090028384,0.40901571270422943,0.3801791487417351,0.34221055217393803,0.3636008834685393,0.4516117917114178,0.36502771928790756,0.5780442282125103
DenseNet121,0.3399433172945744,0.340274054452251,0.35248905273660225,1.5248421050273464e-06,0.15918656259001782,0.13889246637439612,0.1590492397593359,0.15369533057112955,0.08865942259174871,0.13892068992792114,0.13263313340544458,0.2698390923637431,0.18007289262197892,0.5008529828986881
EfficientNet_B3,0.376350298016079,0.375258689410097,0.3888624611920373,0.15918656259001782,1.3001819388082134e-06,0.1650282585977759,0.19425899359837043,0.2456877429263838,0.14195599251459917,0.1644251075438766,0.1526175126454613,0.24320969467880432,0.20748707321579987,0.5172070883939928
EfficientNet_B4,0.37133329754068917,0.34724009003928585,0.35214601991739336,0.13889246637439612,0.1650282585977759,1.2337079499413017e-06,0.1782745141927628,0.19216402786756503,0.15699809853997865,0.16016426804471856,0.14608922060303695,0.2652498586296294,0.18110376974965853,0.4982963907290683
MobileNetV3,0.3109310391455667,0.3365519316071569,0.33826783090028384,0.1590492397593359,0.19425899359837043,0.1782745141927628,1.677941390758415e-06,0.24325562753111046,0.1816767281614922,0.16406640835907269,0.16699673345116506,0.29301124753782637,0.20725380813469357,0.4905098455112981
PyramidViT_V2_B2,0.4075459854024581,0.3794790323573331,0.40901571270422943,0.15369533057112955,0.2456877429263838,0.19216402786756503,0.24325562753111046,9.58818233774309e-07,0.17418205939036668,0.23896122509167866,0.23035255240164865,0.33332084563228503,0.21634465675208014,0.5238773663023931
Res2Net50,0.37542850504065245,0.35854211894105054,0.3801791487417351,0.08865942259174871,0.14195599251459917,0.15699809853997865,0.1816767281614922,0.17418205939036668,1.7311210157072123e-06,0.15939567325262063,0.14187301405020017,0.24632053937882398,0.2047472926975298,0.5074700020066334
ResNet18,0.31204366641052145,0.3459754817152515,0.34221055217393803,0.13892068992792114,0.1644251075438766,0.16016426804471856,0.16406640835907269,0.23896122509167866,0.15939567325262063,2.2246191065677635e-06,0.12418059091398043,0.26755796689943967,0.18262565266829817,0.5034254426781284
ResNet50,0.33761722093111773,0.3477771808700995,0.3636008834685393,0.13263313340544458,0.1526175126454613,0.14608922060303695,0.16699673345116506,0.23035255240164865,0.14187301405020017,0.12418059091398043,2.5002993394649582e-06,0.23436522457087744,0.15016971762179038,0.5166401269831388
ResNeXt50,0.41983621247866154,0.43088329136821124,0.4516117917114178,0.2698390923637431,0.24320969467880432,0.2652498586296294,0.29301124753782637,0.33332084563228503,0.24632053937882398,0.26755796689943967,0.23436522457087744,0.06256088637392887,0.2720128272893573,0.5735105966691075
Swin_T,0.3590334595179066,0.34529648467979573,0.36502771928790756,0.18007289262197892,0.20748707321579987,0.18110376974965853,0.20725380813469357,0.21634465675208014,0.2047472926975298,0.18262565266829817,0.15016971762179038,0.2720128272893573,1.2384130641612023e-06,0.5120218309729261
ViT_B_32,0.5679651962343937,0.5675096053985406,0.5780442282125103,0.5008529828986881,0.5172070883939928,0.4982963907290683,0.4905098455112981,0.5238773663023931,0.5074700020066334,0.5034254426781284,0.5166401269831388,0.5735105966691075,0.5120218309729261,0.22117644140450052
