,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.18355324140134485,0.16409057937700972,0.361689125539459,0.2611022846204693,0.2739056797355172,0.19077682138851187,0.30787356260522286,0.3913691905000872,0.18834942070114338,0.20505360603965359,0.1938182452757473,0.19984813234089757,0.17762432213305462
DeiT_S,0.18355324140134485,0.0,0.1567239162808924,0.3329009159572984,0.24371788187961205,0.24563640177596133,0.18857254659556125,0.2869615604493964,0.3549417216335681,0.18981957185752366,0.19629219815355728,0.19531512844669058,0.19676958331166625,0.209079464242494
DeiT_T,0.16409057937700972,0.1567239162808924,0.0,0.35819990183706185,0.25828460517443674,0.2596306937566019,0.19346011040460773,0.3072977436432041,0.38586070268505457,0.19259669244644123,0.20742720295565276,0.20114744820410474,0.2009979982204194,0.18844340884189473
DenseNet121,0.361689125539459,0.3329009159572984,0.35819990183706185,0.0,0.20080296531732517,0.18232883874334108,0.22088627438505262,0.2027100987439793,0.13199941657526537,0.19678667684625908,0.19246142001212418,0.2727691836000707,0.2369673193373998,0.40633829682010697
EfficientNet_B3,0.2611022846204693,0.24371788187961205,0.25828460517443674,0.20080296531732517,0.0,0.13052874434177025,0.15848282328196356,0.23283221212946553,0.2014939534461977,0.14368343236201098,0.13112574935644739,0.17343818054929186,0.1777765222453711,0.29433527501481915
EfficientNet_B4,0.2739056797355172,0.24563640177596133,0.2596306937566019,0.18232883874334108,0.13052874434177025,0.0,0.15654597437290188,0.20187793902309623,0.20987445726160142,0.1408192610622078,0.13246380574218022,0.19487057463056284,0.167968560601536,0.3014436759909751
MobileNetV3,0.19077682138851187,0.18857254659556125,0.19346011040460773,0.22088627438505262,0.15848282328196356,0.15654597437290188,0.0,0.22438725812822455,0.2538956261698566,0.12343030982504666,0.13032618464089205,0.1684979214239644,0.15838161669831682,0.23115403402305346
PyramidViT_V2_B2,0.30787356260522286,0.2869615604493964,0.3072977436432041,0.2027100987439793,0.23283221212946553,0.20187793902309623,0.22438725812822455,0.0,0.22757727117170348,0.21597323039781455,0.21138382142601417,0.25760481300564847,0.19887205481031384,0.3340125721344522
Res2Net50,0.3913691905000872,0.3549417216335681,0.38586070268505457,0.13199941657526537,0.2014939534461977,0.20987445726160142,0.2538956261698566,0.22757727117170348,0.0,0.23507386399989724,0.21695180723691504,0.2738359707521116,0.26762690691770175,0.4208147880590063
ResNet18,0.18834942070114338,0.18981957185752366,0.19259669244644123,0.19678667684625908,0.14368343236201098,0.1408192610622078,0.12343030982504666,0.21597323039781455,0.23507386399989724,0.0,0.09895811044981173,0.15006541090482567,0.13677131004131335,0.23218156390317943
ResNet50,0.20505360603965359,0.19629219815355728,0.20742720295565276,0.19246142001212418,0.13112574935644739,0.13246380574218022,0.13032618464089205,0.21138382142601417,0.21695180723691504,0.09895811044981173,0.0,0.12376879400730385,0.12402633544978807,0.2467150355915806
ResNeXt50,0.1938182452757473,0.19531512844669058,0.20114744820410474,0.2727691836000707,0.17343818054929186,0.19487057463056284,0.1684979214239644,0.25760481300564847,0.2738359707521116,0.15006541090482567,0.12376879400730385,0.0,0.15710573175036563,0.23174994721574868
Swin_T,0.19984813234089757,0.19676958331166625,0.2009979982204194,0.2369673193373998,0.1777765222453711,0.167968560601536,0.15838161669831682,0.19887205481031384,0.26762690691770175,0.13677131004131335,0.12402633544978807,0.15710573175036563,0.0,0.23688977344334508
ViT_B_32,0.17762432213305462,0.209079464242494,0.18844340884189473,0.40633829682010697,0.29433527501481915,0.3014436759909751,0.23115403402305346,0.3340125721344522,0.4208147880590063,0.23218156390317943,0.2467150355915806,0.23174994721574868,0.23688977344334508,0.0
