,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.853488281114319e-15,0.9909430444172596,0.9969840669095831,0.9759475055439866,1.0013790551664068,0.9753591440909998,0.9736406632565748,0.9780021120137017,0.9876422166764696,0.9845853771404062,0.9924409608526189,0.9856439166929889,0.9513849802679367,0.9978651581922953
DeiT_S,0.9909430444172596,2.2279669683578842e-15,0.9767321595902476,0.9934751354337369,0.9909485182951003,0.9927167181610865,1.000240119775177,0.9980829397693922,0.9947759592395036,0.9962379718726541,0.9929270581342978,1.0000532469563377,0.9917076784081778,0.9918795144217688
DeiT_T,0.9969840669095831,0.9767321595902476,2.31973238063308e-15,0.9906897973100499,0.9909242419196503,1.0007252363431058,0.9863315124243105,1.0040360619482962,0.996000686092492,0.9945180517672144,0.9884218591819912,0.9969880098320352,1.0059955248822976,0.989350608526096
DenseNet121,0.9759475055439866,0.9934751354337369,0.9906897973100499,1.6910413304902302e-15,0.9966690124653211,0.9987506811352845,0.9864103040466828,0.9978635925934247,0.9646183416372,0.9639854956506684,0.9942991374219488,0.9621073887158657,0.995398475483939,0.9936080134285596
EfficientNet_B3,1.0013790551664068,0.9909485182951003,0.9909242419196503,0.9966690124653211,1.698314660101103e-15,0.9495381661407991,0.9697568940413858,0.964734481465251,1.0027883321052415,1.0029241611453212,0.9976305588904205,0.9862113319955688,0.9878771974764188,0.9906190024708214
EfficientNet_B4,0.9753591440909998,0.9927167181610865,1.0007252363431058,0.9987506811352845,0.9495381661407991,1.8587060447557767e-15,0.9659604298916314,0.9868891552213493,0.9907948666891789,0.9829966200649198,0.9821455030214407,0.9921467682016347,0.9828029074188901,0.9898380954518572
MobileNetV3,0.9736406632565748,1.000240119775177,0.9863315124243105,0.9864103040466828,0.9697568940413858,0.9659604298916314,2.0514463340129833e-15,1.0040966691691524,0.9739667700984608,0.9735685227705171,0.9692586745497744,0.9603883999168042,0.990832744361977,0.9939655038768401
PyramidViT_V2_B2,0.9780021120137017,0.9980829397693922,1.0040360619482962,0.9978635925934247,0.964734481465251,0.9868891552213493,1.0040966691691524,1.9735756178897087e-15,0.9923274994794374,1.0008637956061988,0.97839588154041,0.9851042212929865,0.9575347801550372,0.9923709456476101
Res2Net50,0.9876422166764696,0.9947759592395036,0.996000686092492,0.9646183416372,1.0027883321052415,0.9907948666891789,0.9739667700984608,0.9923274994794374,1.799990120016698e-15,0.9919479881195977,0.9734957426943223,0.9844404200880217,0.9915666550424195,0.9988526020097025
ResNet18,0.9845853771404062,0.9962379718726541,0.9945180517672144,0.9639854956506684,1.0029241611453212,0.9829966200649198,0.9735685227705171,1.0008637956061988,0.9919479881195977,1.4948307422741581e-15,0.9961445725375783,0.9834031754999849,0.9967310153298635,0.9933141328269502
ResNet50,0.9924409608526189,0.9929270581342978,0.9884218591819912,0.9942991374219488,0.9976305588904205,0.9821455030214407,0.9692586745497744,0.97839588154041,0.9734957426943223,0.9961445725375783,1.296769823175746e-15,0.9674816634112512,0.9835067034476156,0.9971608134987043
ResNeXt50,0.9856439166929889,1.0000532469563377,0.9969880098320352,0.9621073887158657,0.9862113319955688,0.9921467682016347,0.9603883999168042,0.9851042212929865,0.9844404200880217,0.9834031754999849,0.9674816634112512,1.7468696164931188e-15,0.9923033570004528,0.9976710135513841
Swin_T,0.9513849802679367,0.9917076784081778,1.0059955248822976,0.995398475483939,0.9878771974764188,0.9828029074188901,0.990832744361977,0.9575347801550372,0.9915666550424195,0.9967310153298635,0.9835067034476156,0.9923033570004528,2.183662619550794e-15,0.9968969876018378
ViT_B_32,0.9978651581922953,0.9918795144217688,0.989350608526096,0.9936080134285596,0.9906190024708214,0.9898380954518572,0.9939655038768401,0.9923709456476101,0.9988526020097025,0.9933141328269502,0.9971608134987043,0.9976710135513841,0.9968969876018378,1.991339933040936e-15
