,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.19073200030811494,0.20269102582589515,0.24128492603497806,0.22796379338726971,0.22824566929113524,0.2365582298250273,0.22070698022998775,0.23951217475496658,0.2447369606741668,0.23321131933612074,0.225367330655125,0.20824831324211804,0.2208307694544482
DeiT_S,0.19073200030811494,0.0,0.15420895805700563,0.1981844759151961,0.17923871549937367,0.18572169351368245,0.1953193990765973,0.17815537259396533,0.19538903098357074,0.20098049236859192,0.18881972935184063,0.18152999177014628,0.16918136961238006,0.17661642742904388
DeiT_T,0.20269102582589515,0.15420895805700563,0.0,0.20814355518264377,0.19056189135679397,0.19719895388260955,0.20370727891191695,0.19086923302823833,0.20608154158660602,0.21100341031662398,0.1986197380996174,0.1917325376156539,0.1810690829216282,0.18622915129504267
DenseNet121,0.24128492603497806,0.1981844759151961,0.20814355518264377,0.0,0.23259309574268724,0.23750045743013318,0.24510642523932197,0.2297367346784177,0.24103029494988037,0.24579240792777338,0.240185953028739,0.22645896711559424,0.22152436183981258,0.2264473948074625
EfficientNet_B3,0.22796379338726971,0.17923871549937367,0.19056189135679397,0.23259309574268724,0.0,0.20715113999124296,0.22376486681627988,0.20684587726920275,0.231754353587297,0.23640796410018075,0.2228576773910423,0.2146778416604313,0.2023509715209616,0.20845694262602946
EfficientNet_B4,0.22824566929113524,0.18572169351368245,0.19719895388260955,0.23750045743013318,0.20715113999124296,0.0,0.22606690089042958,0.2158226909680456,0.2342194554387808,0.23718550255484477,0.22610743104008563,0.21989720503525048,0.20711331757193693,0.21421300396286289
MobileNetV3,0.2365582298250273,0.1953193990765973,0.20370727891191695,0.24510642523932197,0.22376486681627988,0.22606690089042958,0.0,0.2265506794730384,0.2388766955513421,0.24466085246832028,0.23295619343349022,0.22456596967758063,0.21686254227245716,0.22290865765244974
PyramidViT_V2_B2,0.22070698022998775,0.17815537259396533,0.19086923302823833,0.2297367346784177,0.20684587726920275,0.2158226909680456,0.2265506794730384,0.0,0.22633914857211246,0.23205170155102103,0.21647072171231793,0.20982685129101605,0.19387003358003935,0.2077428278249488
Res2Net50,0.23951217475496658,0.19538903098357074,0.20608154158660602,0.24103029494988037,0.231754353587297,0.2342194554387808,0.2388766955513421,0.22633914857211246,0.0,0.24787840607428657,0.2333005589367798,0.22870513741812173,0.21800518441939531,0.2248210878103212
ResNet18,0.2447369606741668,0.20098049236859192,0.21100341031662398,0.24579240792777338,0.23640796410018075,0.23718550255484477,0.24466085246832028,0.23205170155102103,0.24787840607428657,0.0,0.24264952376601936,0.23363444164363734,0.22419836456515593,0.22831067096573776
ResNet50,0.23321131933612074,0.18881972935184063,0.1986197380996174,0.240185953028739,0.2228576773910423,0.22610743104008563,0.23295619343349022,0.21647072171231793,0.2333005589367798,0.24264952376601936,0.0,0.2209708633933141,0.21008408796297953,0.21857421946713
ResNeXt50,0.225367330655125,0.18152999177014628,0.1917325376156539,0.22645896711559424,0.2146778416604313,0.21989720503525048,0.22456596967758063,0.20982685129101605,0.22870513741812173,0.23363444164363734,0.2209708633933141,0.0,0.20315392727796258,0.21059980044665408
Swin_T,0.20824831324211804,0.16918136961238006,0.1810690829216282,0.22152436183981258,0.2023509715209616,0.20711331757193693,0.21686254227245716,0.19387003358003935,0.21800518441939531,0.22419836456515593,0.21008408796297953,0.20315392727796258,0.0,0.19864579145223482
ViT_B_32,0.2208307694544482,0.17661642742904388,0.18622915129504267,0.2264473948074625,0.20845694262602946,0.21421300396286289,0.22290865765244974,0.2077428278249488,0.2248210878103212,0.22831067096573776,0.21857421946713,0.21059980044665408,0.19864579145223482,0.0
