,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.5937034348954165e-05,0.10901750388005496,0.1958897797364981,0.15944141701555997,0.14275148392600442,0.12605519972029108,0.16892465080487684,0.1581449856201205,0.14013442603282067,0.13924721882486532,0.11816756785998032,0.12925298552772554,0.11093601378563003,0.15645115503017046
DeiT_S,0.10901750388005496,1.6444849355207288e-05,0.22012729476544157,0.17619939217147917,0.1203962002879958,0.10638543615566444,0.14160249207663048,0.1263901688698381,0.1100877981180451,0.17141412472222792,0.09569074377553066,0.12949616718536477,0.12060945526950478,0.12072372766487323
DeiT_T,0.1958897797364981,0.22012729476544157,1.8501458554437756e-05,0.11364888431480952,0.23693819755730722,0.2570612921219392,0.25609174294015585,0.2909577841583269,0.3284189071578804,0.14532116397085423,0.19102773125480008,0.20505609755963072,0.21256501323666735,0.27236344881915564
DenseNet121,0.15944141701555997,0.17619939217147917,0.11364888431480952,2.0749290415634795e-05,0.19358499001527127,0.20877395630613926,0.18023259967163358,0.27425894208077206,0.26350699277843664,0.12818222894763626,0.15718559888897565,0.17689728560198661,0.21905004576359313,0.24644696285599754
EfficientNet_B3,0.14275148392600442,0.1203962002879958,0.23693819755730722,0.19358499001527127,1.7183956816904896e-05,0.1371238914040848,0.1371126062363075,0.10489087057967929,0.10793272680891425,0.2095201682039761,0.11531866498740327,0.1489191068345265,0.15442100104504664,0.13781707666770507
EfficientNet_B4,0.12605519972029108,0.10638543615566444,0.2570612921219392,0.20877395630613926,0.1371238914040848,1.7549769595126183e-05,0.17840520439575605,0.1802476531134472,0.11681117243508438,0.19438783773926424,0.12490911053562374,0.1361758442070002,0.15859692525488012,0.13889508220910043
MobileNetV3,0.16892465080487684,0.14160249207663048,0.25609174294015585,0.18023259967163358,0.1371126062363075,0.17840520439575605,1.8700937510065057e-05,0.1278819147851485,0.12276707737089006,0.18136461292124464,0.09821273082274248,0.16874315993441658,0.20388486732154423,0.1380191503362198
PyramidViT_V2_B2,0.1581449856201205,0.1263901688698381,0.2909577841583269,0.27425894208077206,0.10489087057967929,0.1802476531134472,0.1278819147851485,1.4678846343630853e-05,0.1295172451662864,0.26873745744418337,0.0900832220668458,0.16432494765432548,0.16619454258213556,0.13845943870922847
Res2Net50,0.14013442603282067,0.1100877981180451,0.3284189071578804,0.26350699277843664,0.10793272680891425,0.11681117243508438,0.12276707737089006,0.1295172451662864,1.8566645588753458e-05,0.2685079983934331,0.12226097020633495,0.14434800425424166,0.18222868252053934,0.13299987300045935
ResNet18,0.13924721882486532,0.17141412472222792,0.14532116397085423,0.12818222894763626,0.2095201682039761,0.19438783773926424,0.18136461292124464,0.26873745744418337,0.2685079983934331,2.8734958427628768e-05,0.15860947046804652,0.19279783438603185,0.1746260817937235,0.22832009868430556
ResNet50,0.11816756785998032,0.09569074377553066,0.19102773125480008,0.15718559888897565,0.11531866498740327,0.12490911053562374,0.09821273082274248,0.0900832220668458,0.12226097020633495,0.15860947046804652,2.1705352419085213e-05,0.1242582057196157,0.12943521073674263,0.10615100396308036
ResNeXt50,0.12925298552772554,0.12949616718536477,0.20505609755963072,0.17689728560198661,0.1489191068345265,0.1361758442070002,0.16874315993441658,0.16432494765432548,0.14434800425424166,0.19279783438603185,0.1242582057196157,2.0036370894748493e-05,0.14778303407453872,0.15870888426399973
Swin_T,0.11093601378563003,0.12060945526950478,0.21256501323666735,0.21905004576359313,0.15442100104504664,0.15859692525488012,0.20388486732154423,0.16619454258213556,0.18222868252053934,0.1746260817937235,0.12943521073674263,0.14778303407453872,1.681792807880732e-05,0.14918202481965406
ViT_B_32,0.15645115503017046,0.12072372766487323,0.27236344881915564,0.24644696285599754,0.13781707666770507,0.13889508220910043,0.1380191503362198,0.13845943870922847,0.13299987300045935,0.22832009868430556,0.10615100396308036,0.15870888426399973,0.14918202481965406,2.320000378095098e-05
