,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.19641694138875512,0.27020332882318937,0.2762753725772416,0.26906197253354963,0.23371273150584798,0.2544017799635365,0.22359972412972956,0.23007040056934114,0.2007487294090695,0.17796993312635193,0.24187382529522042,0.24444878447161386,0.25928057690596457
DeiT_S,0.19641694138875512,0.0,0.21876236944916058,0.19157879189507862,0.21328536772160528,0.14678290771027366,0.18843082919768014,0.1946904665158335,0.16608562169916616,0.18603768794924702,0.17437167506506554,0.18063102838152936,0.2664605455131417,0.1621986387231441
DeiT_T,0.27020332882318937,0.21876236944916058,0.0,0.14504949108635568,0.18832199248360593,0.22126960352860262,0.20502655221903085,0.2359195452573408,0.21596058360055423,0.2012919048187731,0.22156823669451717,0.17384391876639083,0.2773637537218748,0.2044329656069765
DenseNet121,0.2762753725772416,0.19157879189507862,0.14504949108635568,0.0,0.16675027867872758,0.16892602083476166,0.16392613740164683,0.24970370257295346,0.13115606681759895,0.19928795114091408,0.24595137547151283,0.1600458817794834,0.3305203720819163,0.17855461730060546
EfficientNet_B3,0.26906197253354963,0.21328536772160528,0.18832199248360593,0.16675027867872758,0.0,0.2068955104772213,0.18423335740243335,0.1789650110643728,0.13172541241947963,0.20391075235072031,0.20929150652859177,0.17941446305197367,0.24290218986543388,0.17483788179642767
EfficientNet_B4,0.23371273150584798,0.14678290771027366,0.22126960352860262,0.16892602083476166,0.2068955104772213,0.0,0.2059962775904115,0.2540282651233258,0.15017734511273395,0.21085807901151427,0.21061606915590286,0.17718436179372002,0.2749956104139485,0.1554121735639991
MobileNetV3,0.2544017799635365,0.18843082919768014,0.20502655221903085,0.16392613740164683,0.18423335740243335,0.2059962775904115,0.0,0.19925868745923797,0.1513425700668901,0.18248185004825845,0.1978588250055401,0.18793647897555932,0.33877476166398474,0.1721812463264355
PyramidViT_V2_B2,0.22359972412972956,0.1946904665158335,0.2359195452573408,0.24970370257295346,0.1789650110643728,0.2540282651233258,0.19925868745923797,0.0,0.2050563666064068,0.18843918454918188,0.1422963726500133,0.2262484963397453,0.2961303899390211,0.21347080526942044
Res2Net50,0.23007040056934114,0.16608562169916616,0.21596058360055423,0.13115606681759895,0.13172541241947963,0.15017734511273395,0.1513425700668901,0.2050563666064068,0.0,0.17548531419681607,0.20072204247920272,0.1622807554420963,0.2522284896739993,0.1396606263909562
ResNet18,0.2007487294090695,0.18603768794924702,0.2012919048187731,0.19928795114091408,0.20391075235072031,0.21085807901151427,0.18248185004825845,0.18843918454918188,0.17548531419681607,0.0,0.16740498017947622,0.20463630226240262,0.257961776039414,0.17822425503758252
ResNet50,0.17796993312635193,0.17437167506506554,0.22156823669451717,0.24595137547151283,0.20929150652859177,0.21061606915590286,0.1978588250055401,0.1422963726500133,0.20072204247920272,0.16740498017947622,0.0,0.21001730482715575,0.24560491619785313,0.19356101204296852
ResNeXt50,0.24187382529522042,0.18063102838152936,0.17384391876639083,0.1600458817794834,0.17941446305197367,0.17718436179372002,0.18793647897555932,0.2262484963397453,0.1622807554420963,0.20463630226240262,0.21001730482715575,0.0,0.24997705576301454,0.18437916488112338
Swin_T,0.24444878447161386,0.2664605455131417,0.2773637537218748,0.3305203720819163,0.24290218986543388,0.2749956104139485,0.33877476166398474,0.2961303899390211,0.2522284896739993,0.257961776039414,0.24560491619785313,0.24997705576301454,0.0,0.2618523018107492
ViT_B_32,0.25928057690596457,0.1621986387231441,0.2044329656069765,0.17855461730060546,0.17483788179642767,0.1554121735639991,0.1721812463264355,0.21347080526942044,0.1396606263909562,0.17822425503758252,0.19356101204296852,0.18437916488112338,0.2618523018107492,0.0
