,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.6244122382863702e-06,0.40006979317989727,0.43178655186434634,0.34298095858956246,0.3865154667492481,0.3806407795730492,0.31670785415585273,0.4160512433552529,0.37997447303207527,0.31299386432354426,0.35341184375482826,0.4488073465308577,0.3691973311914299,0.5737050799905853
DeiT_S,0.40006979317989727,9.327953189414721e-07,0.35863706042229854,0.31820122362624303,0.3521772886741874,0.3231213632932081,0.30349261604102906,0.3637277338991622,0.3368044999258103,0.32009136894053564,0.3239505491560606,0.42198386379464636,0.31775483714515007,0.5381390881890987
DeiT_T,0.43178655186434634,0.35863706042229854,8.903228606923846e-07,0.34787810575500766,0.40560080865101444,0.3540491057969968,0.3509498352182049,0.41187370564025055,0.37953132812569423,0.34086042180999143,0.36119574810005833,0.46011034872281953,0.3697872721944409,0.5866313799226547
DenseNet121,0.34298095858956246,0.31820122362624303,0.34787810575500766,1.5263764411119037e-06,0.17405939188373318,0.14695831234948822,0.17530318636917297,0.15628238002967723,0.08187896336984724,0.13179612133178645,0.14348733528316285,0.29582786495357527,0.17462195435668762,0.4932260651425499
EfficientNet_B3,0.3865154667492481,0.3521772886741874,0.40560080865101444,0.17405939188373318,1.3533475829506887e-06,0.19125937281265634,0.2083577485012624,0.2502381198453963,0.16323105945738048,0.17063278633578186,0.1593381690848259,0.2627369739253356,0.2088103984089991,0.5071565687269192
EfficientNet_B4,0.3806407795730492,0.3231213632932081,0.3540491057969968,0.14695831234948822,0.19125937281265634,1.1852327073917433e-06,0.20676918028634494,0.1879832018270008,0.17254230891044395,0.1579797454157127,0.15825108752119108,0.2830852888936001,0.179994184554705,0.4895579670461379
MobileNetV3,0.31670785415585273,0.30349261604102906,0.3509498352182049,0.17530318636917297,0.2083577485012624,0.20676918028634494,1.7284618703055786e-06,0.25180141263450456,0.18921335522326346,0.1706890436875707,0.16165848960832654,0.3062836110996393,0.2153943499911911,0.49201685545051155
PyramidViT_V2_B2,0.4160512433552529,0.3637277338991622,0.41187370564025055,0.15628238002967723,0.2502381198453963,0.1879832018270008,0.25180141263450456,9.20174306648677e-07,0.1855703437811364,0.24296812068319018,0.23557378027872863,0.341624403541418,0.20868504063973112,0.510325751404998
Res2Net50,0.37997447303207527,0.3368044999258103,0.37953132812569423,0.08187896336984724,0.16323105945738048,0.17254230891044395,0.18921335522326346,0.1855703437811364,1.6227582093538955e-06,0.16957143084103984,0.15358768078265359,0.28405277996004524,0.2092517678404406,0.5034652406732928
ResNet18,0.31299386432354426,0.32009136894053564,0.34086042180999143,0.13179612133178645,0.17063278633578186,0.1579797454157127,0.1706890436875707,0.24296812068319018,0.16957143084103984,2.4989716103498715e-06,0.12930925081988612,0.2876432539616438,0.17872872818939436,0.495779867323826
ResNet50,0.35341184375482826,0.3239505491560606,0.36119574810005833,0.14348733528316285,0.1593381690848259,0.15825108752119108,0.16165848960832654,0.23557378027872863,0.15358768078265359,0.12930925081988612,2.106140814315958e-06,0.2611755112333846,0.14756575905539196,0.5039956452858968
ResNeXt50,0.4488073465308577,0.42198386379464636,0.46011034872281953,0.29582786495357527,0.2627369739253356,0.2830852888936001,0.3062836110996393,0.341624403541418,0.28405277996004524,0.2876432539616438,0.2611755112333846,0.08873294777114363,0.2979445413015374,0.563011299683263
Swin_T,0.3691973311914299,0.31775483714515007,0.3697872721944409,0.17462195435668762,0.2088103984089991,0.179994184554705,0.2153943499911911,0.20868504063973112,0.2092517678404406,0.17872872818939436,0.14756575905539196,0.2979445413015374,1.3033743144953244e-06,0.4964799693571497
ViT_B_32,0.5737050799905853,0.5381390881890987,0.5866313799226547,0.4932260651425499,0.5071565687269192,0.4895579670461379,0.49201685545051155,0.510325751404998,0.5034652406732928,0.495779867323826,0.5039956452858968,0.563011299683263,0.4964799693571497,0.21731725495544432
