,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.1850068103825487,0.16573128190416883,0.3628147854673877,0.26741931530394397,0.28699595539279643,0.19560598467596763,0.30401726818384156,0.3978802197211305,0.19197454802543554,0.20893327110548118,0.20194761194616578,0.20871543179515045,0.17641077858179077
DeiT_S,0.1850068103825487,0.0,0.152531818060454,0.32847375560369313,0.23999215495637646,0.24355973289260852,0.17911879685564602,0.2801145061986226,0.34990781057546555,0.18257529814988105,0.18804490572734886,0.19243939821271022,0.19952319285213693,0.21002739665763642
DeiT_T,0.16573128190416883,0.152531818060454,0.0,0.3597745492593341,0.26238013496877705,0.27053301127615365,0.20342543027063756,0.3056379083304744,0.3902242370935967,0.18996447966245314,0.2047294219111916,0.20413014600317886,0.21157848389998218,0.19227051840113205
DenseNet121,0.3628147854673877,0.32847375560369313,0.3597745492593341,0.0,0.2146850462522505,0.19325385725845523,0.2308175671089159,0.1995701165832334,0.13235297687687317,0.19860022377746822,0.19932980533996364,0.2849327640898827,0.2310025788492707,0.40124801434785484
EfficientNet_B3,0.26741931530394397,0.23999215495637646,0.26238013496877705,0.2146850462522505,0.0,0.14101309654787925,0.16325170237467707,0.2357913069055629,0.21511983130939397,0.14716290125230116,0.12597399740127416,0.18696883784844326,0.18383666087113262,0.29217103317452753
EfficientNet_B4,0.28699595539279643,0.24355973289260852,0.27053301127615365,0.19325385725845523,0.14101309654787925,0.0,0.17675590190963741,0.20888367035420508,0.21813868471837167,0.15031944633838557,0.14222126009137384,0.2100982863625874,0.18443449245491245,0.30931627638681075
MobileNetV3,0.19560598467596763,0.17911879685564602,0.20342543027063756,0.2308175671089159,0.16325170237467707,0.17675590190963741,0.0,0.22254262575568995,0.2613039379452642,0.1255026758695508,0.12757521549097592,0.1692800020471981,0.16715501694311916,0.23643498135537952
PyramidViT_V2_B2,0.30401726818384156,0.2801145061986226,0.3056379083304744,0.1995701165832334,0.2357913069055629,0.20888367035420508,0.22254262575568995,0.0,0.23844079123544834,0.2156217590162779,0.2104056343761071,0.25020918113591184,0.1905071567983495,0.322465370529703
Res2Net50,0.3978802197211305,0.34990781057546555,0.3902242370935967,0.13235297687687317,0.21511983130939397,0.21813868471837167,0.2613039379452642,0.23844079123544834,0.0,0.24613375035081259,0.22176032249972,0.2917607808545278,0.2689684901322048,0.4232683489701267
ResNet18,0.19197454802543554,0.18257529814988105,0.18996447966245314,0.19860022377746822,0.14716290125230116,0.15031944633838557,0.1255026758695508,0.2156217590162779,0.24613375035081259,0.0,0.10639163380480543,0.16071165019441283,0.14065683434453494,0.22791253482981375
ResNet50,0.20893327110548118,0.18804490572734886,0.2047294219111916,0.19932980533996364,0.12597399740127416,0.14222126009137384,0.12757521549097592,0.2104056343761071,0.22176032249972,0.10639163380480543,0.0,0.13226344040923618,0.12291354682643992,0.23409843526736854
ResNeXt50,0.20194761194616578,0.19243939821271022,0.20413014600317886,0.2849327640898827,0.18696883784844326,0.2100982863625874,0.1692800020471981,0.25020918113591184,0.2917607808545278,0.16071165019441283,0.13226344040923618,0.0,0.16030494765093578,0.22048892629082112
Swin_T,0.20871543179515045,0.19952319285213693,0.21157848389998218,0.2310025788492707,0.18383666087113262,0.18443449245491245,0.16715501694311916,0.1905071567983495,0.2689684901322048,0.14065683434453494,0.12291354682643992,0.16030494765093578,0.0,0.23201292826521358
ViT_B_32,0.17641077858179077,0.21002739665763642,0.19227051840113205,0.40124801434785484,0.29217103317452753,0.30931627638681075,0.23643498135537952,0.322465370529703,0.4232683489701267,0.22791253482981375,0.23409843526736854,0.22048892629082112,0.23201292826521358,0.0
