,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.628800554272218e-15,0.9931356771980653,0.9929902670329357,0.9854576773110789,0.9710262608860242,0.9646678468456552,0.9746411636776166,0.9739107016865992,0.9796813743203162,0.9856102187937702,0.9837865198680417,0.9777793935194945,0.9689573708209429,0.9941250089847921
DeiT_S,0.9931356771980653,1.8473065853120594e-15,0.9794620254051635,0.9952810088761271,0.9920176529769558,0.9889801399501698,0.9948579501313738,0.9911042304664539,0.9963781335907251,0.9960283176541104,0.9955302339538652,0.9941817609257377,0.9920582301798743,0.9949586708492579
DeiT_T,0.9929902670329357,0.9794620254051635,2.0563742136476656e-15,0.9921388843248709,0.9929619377969684,0.9909825611022602,0.9901611745967845,0.9937487817607566,0.99668996322286,0.9913901657311741,0.9917231821925695,0.9932562524803696,0.9934926107392411,0.9942225442550959
DenseNet121,0.9854576773110789,0.9952810088761271,0.9921388843248709,1.3897792371815055e-15,0.9804451163090903,0.9754298849674196,0.9736507464510828,0.9930159929734944,0.9596030837529967,0.9695727312120431,0.9883170779839949,0.9562153633940809,0.9927660474538977,0.9967308711236177
EfficientNet_B3,0.9710262608860242,0.9920176529769558,0.9929619377969684,0.9804451163090903,1.611156728966931e-15,0.9230300131296412,0.9625795067847477,0.9800650329521138,0.9816915014716276,0.9788392911745798,0.9790851445219022,0.9732506719245093,0.9865312273581998,0.9932120835106909
EfficientNet_B4,0.9646678468456552,0.9889801399501698,0.9909825611022602,0.9754298849674196,0.9230300131296412,1.78548507635823e-15,0.967411162755434,0.9738912996780686,0.9777366680756597,0.9819128496865451,0.9753235008547154,0.9686799356065541,0.980396656263176,0.9936981990176604
MobileNetV3,0.9746411636776166,0.9948579501313738,0.9901611745967845,0.9736507464510828,0.9625795067847477,0.967411162755434,1.5537189199561176e-15,0.9876355478479093,0.9772876553372178,0.9700942349739705,0.9886860605334642,0.9706428795343442,0.9890716003529013,0.9950285998963114
PyramidViT_V2_B2,0.9739107016865992,0.9911042304664539,0.9937487817607566,0.9930159929734944,0.9800650329521138,0.9738912996780686,0.9876355478479093,1.8123797976806177e-15,0.9921906228245292,0.9948450388415147,0.9859135261301949,0.9893509387747212,0.9446103638437334,0.9945485773892597
Res2Net50,0.9796813743203162,0.9963781335907251,0.99668996322286,0.9596030837529967,0.9816915014716276,0.9777366680756597,0.9772876553372178,0.9921906228245292,1.6767762779916314e-15,0.9857138661666726,0.9817331872607572,0.9724422337071329,0.9931044905102486,0.9977621587300561
ResNet18,0.9856102187937702,0.9960283176541104,0.9913901657311741,0.9695727312120431,0.9788392911745798,0.9819128496865451,0.9700942349739705,0.9948450388415147,0.9857138661666726,1.7603305525578876e-15,0.9743529035709013,0.964901525370982,0.9919627157682076,0.9973837989479936
ResNet50,0.9837865198680417,0.9955302339538652,0.9917231821925695,0.9883170779839949,0.9790851445219022,0.9753235008547154,0.9886860605334642,0.9859135261301949,0.9817331872607572,0.9743529035709013,1.6551335343653524e-15,0.9704501602548429,0.9861496382357411,0.9970790033180766
ResNeXt50,0.9777793935194945,0.9941817609257377,0.9932562524803696,0.9562153633940809,0.9732506719245093,0.9686799356065541,0.9706428795343442,0.9893509387747212,0.9724422337071329,0.964901525370982,0.9704501602548429,1.930292315115455e-15,0.9915297865074123,0.996156808884353
Swin_T,0.9689573708209429,0.9920582301798743,0.9934926107392411,0.9927660474538977,0.9865312273581998,0.980396656263176,0.9890716003529013,0.9446103638437334,0.9931044905102486,0.9919627157682076,0.9861496382357411,0.9915297865074123,1.6741116004014829e-15,0.9970970055440499
ViT_B_32,0.9941250089847921,0.9949586708492579,0.9942225442550959,0.9967308711236177,0.9932120835106909,0.9936981990176604,0.9950285998963114,0.9945485773892597,0.9977621587300561,0.9973837989479936,0.9970790033180766,0.996156808884353,0.9970970055440499,1.7292919265932624e-15
