,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.20392098578267034,0.21151695852307634,0.2584851129543176,0.24646703140687984,0.24567295674320616,0.24965911123363954,0.24107750136685732,0.2502934373523562,0.2617546369009391,0.2503919091533809,0.24602633923556227,0.22959696312242633,0.2350297163706052
DeiT_S,0.20392098578267034,0.0,0.15936043937253402,0.21203784233862902,0.20118380655884635,0.2017497613451939,0.20462493591501618,0.1970239800609955,0.204401225005985,0.21535722958519993,0.2040565123348979,0.20008538418476565,0.1850923608361107,0.18712172594754456
DeiT_T,0.21151695852307634,0.15936043937253402,0.0,0.2188015673170873,0.2089059619414331,0.2094003389083426,0.21141008360988764,0.2046025591916007,0.2119046179330722,0.22206829042546403,0.21097231367695699,0.20745374394956861,0.19274673208938556,0.19406173945482294
DenseNet121,0.2584851129543176,0.21203784233862902,0.2188015673170873,0.0,0.2550078164119716,0.2545006929661077,0.2558766312402353,0.25224293707936374,0.25252809485254696,0.2647081695378518,0.258248007086757,0.24836138793504192,0.24115770695677277,0.24271891070961704
EfficientNet_B3,0.24646703140687984,0.20118380655884635,0.2089059619414331,0.2550078164119716,0.0,0.23331238769429954,0.24464453271671335,0.24027151184411175,0.2481601289114837,0.2575888598906831,0.24684183116353736,0.24177751613240794,0.23047609295557145,0.23237448166635855
EfficientNet_B4,0.24567295674320616,0.2017497613451939,0.2094003389083426,0.2545006929661077,0.23331238769429954,0.0,0.2463082183035105,0.23980734814110072,0.24778473792676317,0.25931123911815634,0.24704112206980358,0.24249675339137708,0.23033768220048767,0.2331599997136196
MobileNetV3,0.24965911123363954,0.20462493591501618,0.21141008360988764,0.2558766312402353,0.24464453271671335,0.2463082183035105,0.0,0.24450725452388328,0.24999474641524772,0.2582057978256175,0.25165784249289347,0.24468918976577242,0.233657206759999,0.23544946965453856
PyramidViT_V2_B2,0.24107750136685732,0.1970239800609955,0.2046025591916007,0.25224293707936374,0.24027151184411175,0.23980734814110072,0.24450725452388328,0.0,0.24511413398403184,0.255762500610942,0.24342668607626622,0.24060837569803828,0.21790848999032017,0.2284228642971035
Res2Net50,0.2502934373523562,0.204401225005985,0.2119046179330722,0.25252809485254696,0.2481601289114837,0.24778473792676317,0.24999474641524772,0.24511413398403184,0.0,0.26128481429569056,0.24987442720740025,0.2443702943209055,0.23400559725400502,0.2357097748309868
ResNet18,0.2617546369009391,0.21535722958519993,0.22206829042546403,0.2647081695378518,0.2575888598906831,0.25931123911815634,0.2582057978256175,0.255762500610942,0.26128481429569056,0.0,0.25803771671588355,0.2533408766458448,0.244383322512835,0.24582054284955412
ResNet50,0.2503919091533809,0.2040565123348979,0.21097231367695699,0.258248007086757,0.24684183116353736,0.24704112206980358,0.25165784249289347,0.24342668607626622,0.24987442720740025,0.25803771671588355,0.0,0.2440939586258841,0.2324192814551072,0.2350724995238231
ResNeXt50,0.24602633923556227,0.20008538418476565,0.20745374394956861,0.24836138793504192,0.24177751613240794,0.24249675339137708,0.24468918976577242,0.24060837569803828,0.2443702943209055,0.2533408766458448,0.2440939586258841,0.0,0.229953238317013,0.23129101509218922
Swin_T,0.22959696312242633,0.1850923608361107,0.19274673208938556,0.24115770695677277,0.23047609295557145,0.23033768220048767,0.233657206759999,0.21790848999032017,0.23400559725400502,0.244383322512835,0.2324192814551072,0.229953238317013,0.0,0.21729022511715484
ViT_B_32,0.2350297163706052,0.18712172594754456,0.19406173945482294,0.24271891070961704,0.23237448166635855,0.2331599997136196,0.23544946965453856,0.2284228642971035,0.2357097748309868,0.24582054284955412,0.2350724995238231,0.23129101509218922,0.21729022511715484,0.0
