,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.7637519666739237e-05,0.0645005712571774,0.06639169975492681,0.07869071329400466,0.07142421172458058,0.07327596056769653,0.06611920498040601,0.07736486796806062,0.08290535026911736,0.07110745842520527,0.06450383439118447,0.063150789206507,0.06937497732061818,0.09040300600799916
DeiT_S,0.0645005712571774,1.5072638792351095e-05,0.05497298624470885,0.07198071713989942,0.06134462107488051,0.06643478172471996,0.05759172294740676,0.07373640457785345,0.07122785331039362,0.062359372387337374,0.05811425679316703,0.0577114769654098,0.06154472992442689,0.07910056980185257
DeiT_T,0.06639169975492681,0.05497298624470885,1.671282490724623e-05,0.06704566181860751,0.06138576149115798,0.06560656265207764,0.058392445197817416,0.07357174274228681,0.07748838266907436,0.055280297068346085,0.05836951409201094,0.057313864710075824,0.06287571547453989,0.07370737237861746
DenseNet121,0.07869071329400466,0.07198071713989942,0.06704566181860751,1.553320720396756e-05,0.07558630133206774,0.07252994992734171,0.06754709588092217,0.08447649000464387,0.06503261824356542,0.05919492370805547,0.07113789521293719,0.06828606043032584,0.0787991525101333,0.07746369899536598
EfficientNet_B3,0.07142421172458058,0.06134462107488051,0.06138576149115798,0.07558630133206774,1.631615168368283e-05,0.06552663495144333,0.06308960547287826,0.07608479294987196,0.07811156837066711,0.06090308394359103,0.05989615075637841,0.05739450581568441,0.06658718643699446,0.0823886218932706
EfficientNet_B4,0.07327596056769653,0.06643478172471996,0.06560656265207764,0.07252994992734171,0.06552663495144333,1.5342885698395962e-05,0.06268276515507808,0.07382469772312172,0.08056188919559637,0.05513939828501586,0.05874412064592311,0.0549672050402777,0.07409501336541474,0.08127422195575051
MobileNetV3,0.06611920498040601,0.05759172294740676,0.058392445197817416,0.06754709588092217,0.06308960547287826,0.06268276515507808,1.4252907563580262e-05,0.06664887475815125,0.07090858707340247,0.05918944514237906,0.0574018905654355,0.05526686100949495,0.06239909898583218,0.08304189656278436
PyramidViT_V2_B2,0.07736486796806062,0.07373640457785345,0.07357174274228681,0.08447649000464387,0.07608479294987196,0.07382469772312172,0.06664887475815125,1.6204284911222513e-05,0.08677469726403846,0.06897811008753327,0.0654897160724751,0.06584544637613729,0.06897989764006997,0.08929283961037447
Res2Net50,0.08290535026911736,0.07122785331039362,0.07748838266907436,0.06503261824356542,0.07811156837066711,0.08056188919559637,0.07090858707340247,0.08677469726403846,1.7056373229157616e-05,0.07232962877398774,0.07056990810317848,0.07112270323009807,0.08219569882272545,0.08345642354815527
ResNet18,0.07110745842520527,0.062359372387337374,0.055280297068346085,0.05919492370805547,0.06090308394359103,0.05513939828501586,0.05918944514237906,0.06897811008753327,0.07232962877398774,1.4710001992471309e-05,0.05764640879478934,0.04969900088401616,0.06620635029066202,0.07800404133859601
ResNet50,0.06450383439118447,0.05811425679316703,0.05836951409201094,0.07113789521293719,0.05989615075637841,0.05874412064592311,0.0574018905654355,0.0654897160724751,0.07056990810317848,0.05764640879478934,1.4384780262414258e-05,0.04992305048100478,0.059243633871427476,0.07934939176969677
ResNeXt50,0.063150789206507,0.0577114769654098,0.057313864710075824,0.06828606043032584,0.05739450581568441,0.0549672050402777,0.05526686100949495,0.06584544637613729,0.07112270323009807,0.04969900088401616,0.04992305048100478,1.569205268164684e-05,0.06424889801680948,0.07976808657082587
Swin_T,0.06937497732061818,0.06154472992442689,0.06287571547453989,0.0787991525101333,0.06658718643699446,0.07409501336541474,0.06239909898583218,0.06897989764006997,0.08219569882272545,0.06620635029066202,0.059243633871427476,0.06424889801680948,1.530575503273535e-05,0.08871137260705132
ViT_B_32,0.09040300600799916,0.07910056980185257,0.07370737237861746,0.07746369899536598,0.0823886218932706,0.08127422195575051,0.08304189656278436,0.08929283961037447,0.08345642354815527,0.07800404133859601,0.07934939176969677,0.07976808657082587,0.08871137260705132,1.5333212312654383e-05
