,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.10894647125804938,0.10039537311292884,0.12926306761549447,0.07860028862106797,0.0796913874217029,0.09729344802581887,0.09849104120160815,0.12488611395626617,0.12030793927221244,0.11329533389384813,0.07781692868313017,0.09214532389662243,0.11418394806894079
DeiT_S,0.10894647125804938,0.0,0.08118514091000573,0.08915675868754912,0.09466163889368483,0.10847300997646374,0.08248248234441108,0.09669680404037423,0.08871704268161142,0.07013386932296321,0.10023772692272198,0.07514702258924585,0.09767484974865855,0.09200798608170277
DeiT_T,0.10039537311292884,0.08118514091000573,0.0,0.09562879316293658,0.08174283931643302,0.0893537083009878,0.07751389438458116,0.12978701808763687,0.08407625491830852,0.07341343987377025,0.15749048627765583,0.06975805681093297,0.1052071299222495,0.061759877697679745
DenseNet121,0.12926306761549447,0.08915675868754912,0.09562879316293658,0.0,0.12101931003497787,0.11552553998361458,0.0943248897006964,0.12518911091942514,0.08519019538545877,0.07238220034072604,0.14206227059827792,0.10674279428729778,0.13787054579163335,0.09799259704363543
EfficientNet_B3,0.07860028862106797,0.09466163889368483,0.08174283931643302,0.12101931003497787,0.0,0.06671594272945214,0.09756185352735904,0.10164510714656275,0.10969056683626978,0.10799591814949223,0.11981140121354229,0.06377495318033748,0.08797661680175481,0.09708087001074521
EfficientNet_B4,0.0796913874217029,0.10847300997646374,0.0893537083009878,0.11552553998361458,0.06671594272945214,0.0,0.08266552506791361,0.10208142936201822,0.11179020955808568,0.09865764464112103,0.12753614114866618,0.06865371748783138,0.10090120211749172,0.09638460938102342
MobileNetV3,0.09729344802581887,0.08248248234441108,0.07751389438458116,0.0943248897006964,0.09756185352735904,0.08266552506791361,0.0,0.11796525880538256,0.12306213747780809,0.06909709964839084,0.11949585009614512,0.07497040280616023,0.09181654043024341,0.09714983897178424
PyramidViT_V2_B2,0.09849104120160815,0.09669680404037423,0.12978701808763687,0.12518911091942514,0.10164510714656275,0.10208142936201822,0.11796525880538256,0.0,0.11631868913633285,0.11689819237012668,0.09665935003551016,0.09228212870695422,0.10063175805815401,0.1312957627959859
Res2Net50,0.12488611395626617,0.08871704268161142,0.08407625491830852,0.08519019538545877,0.10969056683626978,0.11179020955808568,0.12306213747780809,0.11631868913633285,0.0,0.10814142327225541,0.16037416989581574,0.0960389101754428,0.14409647375081253,0.08543714937133069
ResNet18,0.12030793927221244,0.07013386932296321,0.07341343987377025,0.07238220034072604,0.10799591814949223,0.09865764464112103,0.06909709964839084,0.11689819237012668,0.10814142327225541,0.0,0.11964074807882985,0.07440151041753877,0.10890341779309665,0.08825454934806462
ResNet50,0.11329533389384813,0.10023772692272198,0.15749048627765583,0.14206227059827792,0.11981140121354229,0.12753614114866618,0.11949585009614512,0.09665935003551016,0.16037416989581574,0.11964074807882985,0.0,0.09765511071191063,0.09885784277105338,0.1602572915764104
ResNeXt50,0.07781692868313017,0.07514702258924585,0.06975805681093297,0.10674279428729778,0.06377495318033748,0.06865371748783138,0.07497040280616023,0.09228212870695422,0.0960389101754428,0.07440151041753877,0.09765511071191063,0.0,0.08584199530199857,0.08652251519769952
Swin_T,0.09214532389662243,0.09767484974865855,0.1052071299222495,0.13787054579163335,0.08797661680175481,0.10090120211749172,0.09181654043024341,0.10063175805815401,0.14409647375081253,0.10890341779309665,0.09885784277105338,0.08584199530199857,0.0,0.12159412525413567
ViT_B_32,0.11418394806894079,0.09200798608170277,0.061759877697679745,0.09799259704363543,0.09708087001074521,0.09638460938102342,0.09714983897178424,0.1312957627959859,0.08543714937133069,0.08825454934806462,0.1602572915764104,0.08652251519769952,0.12159412525413567,0.0
