,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.628800554272218e-15,0.6667627555314084,0.6066714532486018,0.43822943433409356,0.41438587432228036,0.4252272711585854,0.4197139587899122,0.5025458467901595,0.4463501417693328,0.41836743266759086,0.43671689778481254,0.44616982584863457,0.4892312138355159,0.6134842742691876
DeiT_S,0.6667627555314084,1.8473065853120594e-15,0.4304270341936948,0.6252797770395374,0.6532690447765359,0.6297686383184243,0.6561473699690826,0.6120253226041262,0.6376453451616751,0.6532516364828015,0.6332526463093103,0.6386791258852675,0.5990162957376073,0.5964860254654573
DeiT_T,0.6066714532486018,0.4304270341936948,2.0563742136476656e-15,0.5719944170400664,0.5927603144432753,0.5751162566726433,0.5927661583302781,0.568562240529133,0.5830871591646,0.5903010096680428,0.575438474071418,0.5891942627169005,0.5655898791366654,0.5835426354647046
DenseNet121,0.43822943433409356,0.6252797770395374,0.5719944170400664,1.3897792371815055e-15,0.42500053988561226,0.43058392786076427,0.4355747621867724,0.5025542717199926,0.39967105697205185,0.40818981828215944,0.42251560912452935,0.41993754903974295,0.5052122719464092,0.5743581697971578
EfficientNet_B3,0.41438587432228036,0.6532690447765359,0.5927603144432753,0.42500053988561226,1.611156728966931e-15,0.3912855403431232,0.41752828582636364,0.5057994472615857,0.42887881148839535,0.41209397785673774,0.42324841783991124,0.4357250528133184,0.507374982808948,0.6047602477593188
EfficientNet_B4,0.4252272711585854,0.6297686383184243,0.5751162566726433,0.43058392786076427,0.3912855403431232,1.78548507635823e-15,0.4336687463536922,0.49697377732621806,0.4390165779269057,0.4307851353649085,0.4305559507216379,0.4466513311341519,0.5009760546989599,0.5864001048742905
MobileNetV3,0.4197139587899122,0.6561473699690826,0.5927661583302781,0.4355747621867724,0.41752828582636364,0.4336687463536922,1.5537189199561176e-15,0.5157736162471155,0.44294575625812777,0.41382521477477885,0.43261652519443383,0.44661061649556993,0.5101031561908492,0.6129984945241321
PyramidViT_V2_B2,0.5025458467901595,0.6120253226041262,0.568562240529133,0.5025542717199926,0.5057994472615857,0.49697377732621806,0.5157736162471155,1.8123797976806177e-15,0.5211991181534265,0.5093795183514718,0.4903747557618287,0.508879426440931,0.4731040109065912,0.5819817600406509
Res2Net50,0.4463501417693328,0.6376453451616751,0.5830871591646,0.39967105697205185,0.42887881148839535,0.4390165779269057,0.44294575625812777,0.5211991181534265,1.6767762779916314e-15,0.4205369839341156,0.42707166532200347,0.4261151934722268,0.5185343080935741,0.587748119652018
ResNet18,0.41836743266759086,0.6532516364828015,0.5903010096680428,0.40818981828215944,0.41209397785673774,0.4307851353649085,0.41382521477477885,0.5093795183514718,0.4205369839341156,1.7603305525578876e-15,0.40190416471252927,0.4249185173680733,0.5073723173482051,0.6036964694529933
ResNet50,0.43671689778481254,0.6332526463093103,0.575438474071418,0.42251560912452935,0.42324841783991124,0.4305559507216379,0.43261652519443383,0.4903747557618287,0.42707166532200347,0.40190416471252927,1.6551335343653524e-15,0.4132093160668589,0.4925135630207543,0.5967194207912424
ResNeXt50,0.44616982584863457,0.6386791258852675,0.5891942627169005,0.41993754903974295,0.4357250528133184,0.4466513311341519,0.44661061649556993,0.508879426440931,0.4261151934722268,0.4249185173680733,0.4132093160668589,1.930292315115455e-15,0.5077795146995596,0.600699290591045
Swin_T,0.4892312138355159,0.5990162957376073,0.5655898791366654,0.5052122719464092,0.507374982808948,0.5009760546989599,0.5101031561908492,0.4731040109065912,0.5185343080935741,0.5073723173482051,0.4925135630207543,0.5077795146995596,1.6741116004014829e-15,0.5927034278571361
ViT_B_32,0.6134842742691876,0.5964860254654573,0.5835426354647046,0.5743581697971578,0.6047602477593188,0.5864001048742905,0.6129984945241321,0.5819817600406509,0.587748119652018,0.6036964694529933,0.5967194207912424,0.600699290591045,0.5927034278571361,1.7292919265932624e-15
