,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.14564758321764923,0.13839620780614156,0.1264717488367692,0.1158421483263776,0.11891393556379701,0.11835832219654754,0.13421787584849107,0.12532935882124147,0.12312118123514006,0.12228855304940656,0.12268344460396252,0.1259479568271386,0.15295967768355742
DeiT_S,0.14564758321764923,0.0,0.07581940124968355,0.14384057381251283,0.1405043600412593,0.13717643380530495,0.14353472003315423,0.12985855943054073,0.14005289331817566,0.1517525533504063,0.13905662183386738,0.13726176768168338,0.11907848696530624,0.11876185043388102
DeiT_T,0.13839620780614156,0.07581940124968355,0.0,0.1370647321197039,0.13332167697027075,0.1309741476322931,0.1356064519435609,0.12566277446113,0.13347660605357964,0.14318454599367716,0.13170701570040863,0.13177583296205161,0.11696037161257017,0.12045087780169074
DenseNet121,0.1264717488367692,0.14384057381251283,0.1370647321197039,0.0,0.1217067321720254,0.12364391417092666,0.12581040303894103,0.13827467196553808,0.11615004442523472,0.12333967392693697,0.12176399669668549,0.11935792982740978,0.13319605216961347,0.1495146708737959
EfficientNet_B3,0.1158421483263776,0.1405043600412593,0.13332167697027075,0.1217067321720254,0.0,0.1089394394345091,0.11627107004084082,0.13320970944246818,0.11934500698285513,0.12018090855305764,0.11752715019562056,0.1185134632744677,0.12793330578984546,0.14897966154488027
EfficientNet_B4,0.11891393556379701,0.13717643380530495,0.1309741476322931,0.12364391417092666,0.1089394394345091,0.0,0.12109697724880818,0.13161031520073482,0.12226488885109185,0.1255504116673776,0.11990548509976853,0.12202480077191662,0.1267624170413481,0.1461455539625206
MobileNetV3,0.11835832219654754,0.14353472003315423,0.1356064519435609,0.12581040303894103,0.11627107004084082,0.12109697724880818,0.0,0.13692638178826919,0.1241420035250125,0.12194101529758268,0.12099989377278576,0.1225673906534202,0.13034941421888577,0.15254648879967328
PyramidViT_V2_B2,0.13421787584849107,0.12985855943054073,0.12566277446113,0.13827467196553808,0.13320970944246818,0.13161031520073482,0.13692638178826919,0.0,0.13839787574616308,0.14170888425250736,0.13079397000067833,0.1330483341852409,0.11724890520952878,0.14134479367887642
Res2Net50,0.12532935882124147,0.14005289331817566,0.13347660605357964,0.11615004442523472,0.11934500698285513,0.12226488885109185,0.1241420035250125,0.13839787574616308,0.0,0.12370750858598954,0.11960585601009488,0.11704501890761713,0.13199013043779662,0.14761791065152494
ResNet18,0.12312118123514006,0.1517525533504063,0.14318454599367716,0.12333967392693697,0.12018090855305764,0.1255504116673776,0.12194101529758268,0.14170888425250736,0.12370750858598954,0.0,0.118054262936478,0.12239751265186005,0.13598361905659487,0.15839391192923669
ResNet50,0.12228855304940656,0.13905662183386738,0.13170701570040863,0.12176399669668549,0.11752715019562056,0.11990548509976853,0.12099989377278576,0.13079397000067833,0.11960585601009488,0.118054262936478,0.0,0.11389516248232368,0.12581321205995646,0.1494522223861069
ResNeXt50,0.12268344460396252,0.13726176768168338,0.13177583296205161,0.11935792982740978,0.1185134632744677,0.12202480077191662,0.1225673906534202,0.1330483341852409,0.11704501890761713,0.12239751265186005,0.11389516248232368,0.0,0.12705525993556524,0.14720184343528467
Swin_T,0.1259479568271386,0.11907848696530624,0.11696037161257017,0.13319605216961347,0.12793330578984546,0.1267624170413481,0.13034941421888577,0.11724890520952878,0.13199013043779662,0.13598361905659487,0.12581321205995646,0.12705525993556524,0.0,0.13572188406594346
ViT_B_32,0.15295967768355742,0.11876185043388102,0.12045087780169074,0.1495146708737959,0.14897966154488027,0.1461455539625206,0.15254648879967328,0.14134479367887642,0.14761791065152494,0.15839391192923669,0.1494522223861069,0.14720184343528467,0.13572188406594346,0.0
