,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.4360767834165391e-05,0.6041135926826249,0.5337490705800085,0.5490739661352433,0.5940913328344669,0.643732071760649,0.5669517750173243,0.6325609456244057,0.5616097100116171,0.5786289030630808,0.607352220036522,0.6864317044806284,0.6049833757613171,0.570849728264316
DeiT_S,0.6041135926826249,1.5465917502143354e-05,0.4412122761628915,0.4762853348610928,0.5515112059804351,0.5896428987660132,0.5020660686500173,0.5627068827171005,0.4924309687969978,0.5003054310303525,0.5303416364951533,0.6455567082320867,0.5187108203340266,0.5021595433590298
DeiT_T,0.5337490705800085,0.4412122761628915,1.6301545981846934e-05,0.424419910821135,0.5318461439484065,0.5577185534635951,0.4842639722203029,0.5103768151912577,0.4550278853043982,0.4399146664819014,0.5426392027126077,0.6252729716597734,0.5038869556249915,0.4767620745064023
DenseNet121,0.5490739661352433,0.4762853348610928,0.424419910821135,1.4859373026087368e-05,0.508442332289529,0.5494279053963976,0.486661025977589,0.5303304170593611,0.3894670858923254,0.4129260305163531,0.5337204337691717,0.5975050562452866,0.5262018032086988,0.43644749659569526
EfficientNet_B3,0.5940913328344669,0.5515112059804351,0.5318461439484065,0.508442332289529,1.6249465974828828e-05,0.5535412657321981,0.5358147165344088,0.5786482801912768,0.5229514262009952,0.5124026598595568,0.5639974364943162,0.6377997003994662,0.5618829468238655,0.5139725770440601
EfficientNet_B4,0.643732071760649,0.5896428987660132,0.5577185534635951,0.5494279053963976,0.5535412657321981,1.5926592323264326e-05,0.564172029156279,0.5654778182026887,0.5749784299996601,0.5307210303188056,0.5604826614721986,0.6717952447459247,0.6075744405620501,0.5547719518052174
MobileNetV3,0.5669517750173243,0.5020660686500173,0.4842639722203029,0.486661025977589,0.5358147165344088,0.564172029156279,1.6524040730857255e-05,0.5394097574112238,0.4898709969258132,0.5142896375529229,0.5474431853429653,0.6374602998015504,0.5473373735789966,0.5192287437022758
PyramidViT_V2_B2,0.6325609456244057,0.5627068827171005,0.5103768151912577,0.5303304170593611,0.5786482801912768,0.5654778182026887,0.5394097574112238,1.5763377389072698e-05,0.5421053326326154,0.5298103371701399,0.5827510257994681,0.6915768422953771,0.5620346565191198,0.5287814611151588
Res2Net50,0.5616097100116171,0.4924309687969978,0.4550278853043982,0.3894670858923254,0.5229514262009952,0.5749784299996601,0.4898709969258132,0.5421053326326154,1.7087910805017738e-05,0.4929281079231993,0.5428802354792743,0.6024691220729267,0.5477350212839004,0.46486625557976574
ResNet18,0.5786289030630808,0.5003054310303525,0.4399146664819014,0.4129260305163531,0.5124026598595568,0.5307210303188056,0.5142896375529229,0.5298103371701399,0.4929281079231993,1.4235610161190499e-05,0.5290338178219395,0.6015313861347685,0.5601263842403721,0.4725189426900419
ResNet50,0.607352220036522,0.5303416364951533,0.5426392027126077,0.5337204337691717,0.5639974364943162,0.5604826614721986,0.5474431853429653,0.5827510257994681,0.5428802354792743,0.5290338178219395,1.5517502647521035e-05,0.6644344920874529,0.581336266236051,0.5630086671946166
ResNeXt50,0.6864317044806284,0.6455567082320867,0.6252729716597734,0.5975050562452866,0.6377997003994662,0.6717952447459247,0.6374602998015504,0.6915768422953771,0.6024691220729267,0.6015313861347685,0.6644344920874529,1.4887531908354542e-05,0.6891109267860387,0.646365551542444
Swin_T,0.6049833757613171,0.5187108203340266,0.5038869556249915,0.5262018032086988,0.5618829468238655,0.6075744405620501,0.5473373735789966,0.5620346565191198,0.5477350212839004,0.5601263842403721,0.581336266236051,0.6891109267860387,1.3925760180136488e-05,0.5474959140360875
ViT_B_32,0.570849728264316,0.5021595433590298,0.4767620745064023,0.43644749659569526,0.5139725770440601,0.5547719518052174,0.5192287437022758,0.5287814611151588,0.46486625557976574,0.4725189426900419,0.5630086671946166,0.646365551542444,0.5474959140360875,1.4761770078084306e-05
