,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,0.0,0.4322613212175144,0.3959658287015536,0.3765789865517053,0.41815911976381476,0.4446642424463442,0.4235279703323478,0.4608395688598563,0.39273184212048895,0.39321037710493423,0.44183717160219155,0.47616540797364837,0.456363525814723,0.39299783480129974
DeiT_S,0.4322613212175144,0.0,0.32791675785972,0.3237840726781824,0.3828981615044932,0.40985185557555087,0.3728387947181749,0.4207648803351979,0.3357832903383648,0.329173970602404,0.3937496029276883,0.44401185468625537,0.3983389208452408,0.3514917926214898
DeiT_T,0.3959658287015536,0.32791675785972,0.0,0.2868144607925001,0.37061589211341645,0.3895741104449643,0.3578357379422752,0.3895723386438109,0.3072768014967458,0.30628682492400044,0.38971626652512287,0.4271873294473293,0.3884434097396306,0.32506329658589217
DenseNet121,0.3765789865517053,0.3237840726781824,0.2868144607925001,0.0,0.33556352073065904,0.35718726473131196,0.3315569425542799,0.3728808959754434,0.24661902291831556,0.25904962165935574,0.35431638753761285,0.39090490297112157,0.37091871672427007,0.27077845810140994
EfficientNet_B3,0.41815911976381476,0.3828981615044932,0.37061589211341645,0.33556352073065904,0.0,0.38600147553047887,0.37833435424049955,0.4148192536485078,0.33956261408159977,0.3390460509299163,0.40399877808727,0.44298675764189577,0.4121981957443223,0.3534811134420134
EfficientNet_B4,0.4446642424463442,0.40985185557555087,0.3895741104449643,0.35718726473131196,0.38600147553047887,0.0,0.40190902108498094,0.415018406099204,0.3694754019619517,0.3558020445612922,0.40605173747452855,0.4545101466160808,0.4347129500954887,0.3780933287741313
MobileNetV3,0.4235279703323478,0.3728387947181749,0.3578357379422752,0.3315569425542799,0.37833435424049955,0.40190902108498094,0.0,0.4138058343383823,0.34081251976034505,0.34262316918559615,0.4010699489017436,0.4408890617626382,0.4112974594343817,0.3584463447779487
PyramidViT_V2_B2,0.4608395688598563,0.4207648803351979,0.3895723386438109,0.3728808959754434,0.4148192536485078,0.415018406099204,0.4138058343383823,0.0,0.382380846930516,0.37314658200882006,0.4354315251005692,0.4743937372090381,0.43207377018880455,0.38466002786640785
Res2Net50,0.39273184212048895,0.3357832903383648,0.3072768014967458,0.24661902291831556,0.33956261408159977,0.3694754019619517,0.34081251976034505,0.382380846930516,0.0,0.2930639768161911,0.3700442583553971,0.4074874852828611,0.3814478744362602,0.29848958650790947
ResNet18,0.39321037710493423,0.329173970602404,0.30628682492400044,0.25904962165935574,0.3390460509299163,0.3558020445612922,0.34262316918559615,0.37314658200882006,0.2930639768161911,0.0,0.357041374464543,0.39924448205572144,0.39029908470704044,0.3033303564213742
ResNet50,0.44183717160219155,0.3937496029276883,0.38971626652512287,0.35431638753761285,0.40399877808727,0.40605173747452855,0.4010699489017436,0.4354315251005692,0.3700442583553971,0.357041374464543,0.0,0.451264995600574,0.4276519835956121,0.3909573529856532
ResNeXt50,0.47616540797364837,0.44401185468625537,0.4271873294473293,0.39090490297112157,0.44298675764189577,0.4545101466160808,0.4408890617626382,0.4743937372090381,0.4074874852828611,0.39924448205572144,0.451264995600574,0.0,0.48710403215314463,0.4261645842042892
Swin_T,0.456363525814723,0.3983389208452408,0.3884434097396306,0.37091871672427007,0.4121981957443223,0.4347129500954887,0.4112974594343817,0.43207377018880455,0.3814478744362602,0.39029908470704044,0.4276519835956121,0.48710403215314463,0.0,0.39481987766523413
ViT_B_32,0.39299783480129974,0.3514917926214898,0.32506329658589217,0.27077845810140994,0.3534811134420134,0.3780933287741313,0.3584463447779487,0.38466002786640785,0.29848958650790947,0.3033303564213742,0.3909573529856532,0.4261645842042892,0.39481987766523413,0.0
