,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.2523852569761924,0.22810417289472862,0.17914571768421872,0.19368758032763755,0.21328272170167262,0.31540317959315867,0.16208761308591635,0.1534763983962868,0.29383472541736444,0.2356303463034065,0.2253676538875259,0.25879689404903816,0.18377281420214786
DeiT_S,0.2523852569761924,1.0,0.37237483469439003,0.25449372343508714,0.26652222839664963,0.29476990646241696,0.3397827961823231,0.2228574014273399,0.24130456625974706,0.3107642302505149,0.31311287330127857,0.2971511233432289,0.34999373900094966,0.18289727020730784
DeiT_T,0.22810417289472862,0.37237483469439003,1.0,0.17469621945408476,0.1948832494171897,0.2158871273523736,0.2514454029095482,0.14014730172023582,0.15630209836733544,0.2521057038714112,0.23682026364988795,0.20635751715600237,0.24673349700531366,0.14141199220050726
DenseNet121,0.17914571768421872,0.25449372343508714,0.17469621945408476,1.0,0.4653300464913974,0.46681941156018225,0.3780201847604162,0.4288557676408249,0.6179675370257478,0.4075701052663898,0.45410164531389796,0.3963802961958748,0.4670189480343929,0.1376908903134324
EfficientNet_B3,0.19368758032763755,0.26652222839664963,0.1948832494171897,0.4653300464913974,1.0,0.5569669673222759,0.4205279455672172,0.3153234759688328,0.48652117322539856,0.45729333288468543,0.553221523600516,0.50877610041221,0.4598056862451826,0.1685550645265883
EfficientNet_B4,0.21328272170167262,0.29476990646241696,0.2158871273523736,0.46681941156018225,0.5569669673222759,1.0,0.4212590362005044,0.3516442314444307,0.43105710390715146,0.46319113456042427,0.5292977837370061,0.4427041849477391,0.4965114568231743,0.17099456937802882
MobileNetV3,0.31540317959315867,0.3397827961823231,0.2514454029095482,0.3780201847604162,0.4205279455672172,0.4212590362005044,1.0,0.28207322270888235,0.3341191438340504,0.4741423988054436,0.4757103159907309,0.42060563778782833,0.4417937003287593,0.19156802300631837
PyramidViT_V2_B2,0.16208761308591635,0.2228574014273399,0.14014730172023582,0.4288557676408249,0.3153234759688328,0.3516442314444307,0.28207322270888235,1.0,0.3964063218942041,0.2758560707859852,0.2914196405927967,0.26974014194584517,0.41785157702543096,0.1501739563736625
Res2Net50,0.1534763983962868,0.24130456625974706,0.15630209836733544,0.6179675370257478,0.48652117322539856,0.43105710390715146,0.3341191438340504,0.3964063218942041,1.0,0.35010111267504274,0.42566797664197786,0.3755554818307828,0.41169677626759527,0.1333800384054742
ResNet18,0.29383472541736444,0.3107642302505149,0.2521057038714112,0.4075701052663898,0.45729333288468543,0.46319113456042427,0.4741423988054436,0.2758560707859852,0.35010111267504274,1.0,0.5571044351834349,0.4655190950019016,0.48631023423264463,0.19075026885469548
ResNet50,0.2356303463034065,0.31311287330127857,0.23682026364988795,0.45410164531389796,0.553221523600516,0.5292977837370061,0.4757103159907309,0.2914196405927967,0.42566797664197786,0.5571044351834349,1.0,0.5927210580388331,0.5263974585020901,0.17649638063115514
ResNeXt50,0.2253676538875259,0.2971511233432289,0.20635751715600237,0.3963802961958748,0.50877610041221,0.4427041849477391,0.42060563778782833,0.26974014194584517,0.3755554818307828,0.4655190950019016,0.5927210580388331,1.0,0.4633005595680978,0.16988332919469706
Swin_T,0.25879689404903816,0.34999373900094966,0.24673349700531366,0.4670189480343929,0.4598056862451826,0.4965114568231743,0.4417937003287593,0.41785157702543096,0.41169677626759527,0.48631023423264463,0.5263974585020901,0.4633005595680978,1.0,0.22838891341581147
ViT_B_32,0.18377281420214786,0.18289727020730784,0.14141199220050726,0.1376908903134324,0.1685550645265883,0.17099456937802882,0.19156802300631837,0.1501739563736625,0.1333800384054742,0.19075026885469548,0.17649638063115514,0.16988332919469706,0.22838891341581147,1.0
