,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.22528863871893,0.21550094751765703,0.1361732009814408,0.17557488822182987,0.19420198942616895,0.28533491460667526,0.1511927590509159,0.11228517005672489,0.2684609307164436,0.2199653938671685,0.207463524577993,0.22337014667538957,0.1636992108102011
DeiT_S,0.22528863871893,1.0,0.33301595159763997,0.1968468694226948,0.2352480574392699,0.26361866271716683,0.2899475535689857,0.19543476144295513,0.17390784623771505,0.27712871684252083,0.27638751502353076,0.25238846172842266,0.29328161848651324,0.16486036606150567
DeiT_T,0.21550094751765703,0.33301595159763997,1.0,0.1426972977443277,0.17316020304048874,0.2022957418839092,0.2240369376442347,0.1333197351262626,0.11657029829050836,0.22947979836921883,0.21743627684805267,0.18707758131136776,0.21150672339715892,0.1344635624358519
DenseNet121,0.1361732009814408,0.1968468694226948,0.1426972977443277,1.0,0.36120193487683827,0.37537434860632257,0.3053768406683731,0.3451769384075376,0.510389819633519,0.30817928492367364,0.34238443252703665,0.292823248904282,0.36201412882493866,0.11379535405619945
EfficientNet_B3,0.17557488822182987,0.2352480574392699,0.17316020304048874,0.36120193487683827,1.0,0.45551145012132455,0.36547448650823444,0.2620226167060581,0.37092160812430897,0.390378020257247,0.4663870011782869,0.4261802602315855,0.3732211091634742,0.14827516794022222
EfficientNet_B4,0.19420198942616895,0.26361866271716683,0.2022957418839092,0.37537434860632257,0.45551145012132455,1.0,0.3760802319478117,0.29538323963732127,0.32790039220430345,0.3982512225817946,0.44635964163136754,0.3599390494350483,0.41727055064802976,0.16054845442317256
MobileNetV3,0.28533491460667526,0.2899475535689857,0.2240369376442347,0.3053768406683731,0.36547448650823444,0.3760802319478117,1.0,0.25601002496553615,0.2564042688886977,0.43169184221962265,0.4235977638097811,0.3590423557526138,0.3864527911272745,0.16542678147778
PyramidViT_V2_B2,0.1511927590509159,0.19543476144295513,0.1333197351262626,0.3451769384075376,0.2620226167060581,0.29538323963732127,0.25601002496553615,1.0,0.31177080430274395,0.2585858726756871,0.2738067640641245,0.24258890735095584,0.35190584045120776,0.1336830189053495
Res2Net50,0.11228517005672489,0.17390784623771505,0.11657029829050836,0.510389819633519,0.37092160812430897,0.32790039220430345,0.2564042688886977,0.31177080430274395,1.0,0.26642411953538137,0.31041143555572215,0.2697500242234714,0.3099517491614413,0.10343574622287555
ResNet18,0.2684609307164436,0.27712871684252083,0.22947979836921883,0.30817928492367364,0.390378020257247,0.3982512225817946,0.43169184221962265,0.2585858726756871,0.26642411953538137,1.0,0.4995661996622901,0.4022516252260725,0.4158033977648403,0.17476308013249076
ResNet50,0.2199653938671685,0.27638751502353076,0.21743627684805267,0.34238443252703665,0.4663870011782869,0.44635964163136754,0.4235977638097811,0.2738067640641245,0.31041143555572215,0.4995661996622901,1.0,0.5209080866844326,0.4567545212820209,0.17368407119629026
ResNeXt50,0.207463524577993,0.25238846172842266,0.18707758131136776,0.292823248904282,0.4261802602315855,0.3599390494350483,0.3590423557526138,0.24258890735095584,0.2697500242234714,0.4022516252260725,0.5209080866844326,1.0,0.3907525209070294,0.16014748712681104
Swin_T,0.22337014667538957,0.29328161848651324,0.21150672339715892,0.36201412882493866,0.3732211091634742,0.41727055064802976,0.3864527911272745,0.35190584045120776,0.3099517491614413,0.4158033977648403,0.4567545212820209,0.3907525209070294,1.0,0.1970267116413552
ViT_B_32,0.1636992108102011,0.16486036606150567,0.1344635624358519,0.11379535405619945,0.14827516794022222,0.16054845442317256,0.16542678147778,0.1336830189053495,0.10343574622287555,0.17476308013249076,0.17368407119629026,0.16014748712681104,0.1970267116413552,1.0
